CTYNAME,STNAME,POPESTIMATE2017,fips
Alabama,AL,4874747,
Autauga County,AL,55504,1001
Baldwin County,AL,212628,1003
Barbour County,AL,25270,1005
Bibb County,AL,22668,1007
Blount County,AL,58013,1009
Bullock County,AL,10309,1011
Butler County,AL,19825,1013
Calhoun County,AL,114728,1015
Chambers County,AL,33713,1017
Cherokee County,AL,25857,1019
Chilton County,AL,44067,1021
Choctaw County,AL,12945,1023
Clarke County,AL,24083,1025
Clay County,AL,13367,1027
Cleburne County,AL,14900,1029
Coffee County,AL,51874,1031
Colbert County,AL,54500,1033
Conecuh County,AL,12469,1035
Coosa County,AL,10754,1037
Covington County,AL,37092,1039
Crenshaw County,AL,13871,1041
Cullman County,AL,82755,1043
Dale County,AL,49226,1045
Dallas County,AL,39215,1047
DeKalb County,AL,71617,1049
Elmore County,AL,81677,1051
Escambia County,AL,37447,1053
Etowah County,AL,102755,1055
Fayette County,AL,16468,1057
Franklin County,AL,31495,1059
Geneva County,AL,26421,1061
Greene County,AL,8330,1063
Hale County,AL,14812,1065
Henry County,AL,17147,1067
Houston County,AL,104346,1069
Jackson County,AL,51909,1071
Jefferson County,AL,659197,1073
Lamar County,AL,13946,1075
Lauderdale County,AL,92538,1077
Lawrence County,AL,33049,1079
Lee County,AL,161604,1081
Limestone County,AL,94402,1083
Lowndes County,AL,10076,1085
Macon County,AL,18755,1087
Madison County,AL,361046,1089
Marengo County,AL,19375,1091
Marion County,AL,29833,1093
Marshall County,AL,95548,1095
Mobile County,AL,413955,1097
Monroe County,AL,21327,1099
Montgomery County,AL,226646,1101
Morgan County,AL,118818,1103
Perry County,AL,9339,1105
Pickens County,AL,20176,1107
Pike County,AL,33267,1109
Randolph County,AL,22670,1111
Russell County,AL,57045,1113
St. Clair County,AL,88199,1115
Shelby County,AL,213605,1117
Sumter County,AL,12687,1119
Talladega County,AL,80065,1121
Tallapoosa County,AL,40681,1123
Tuscaloosa County,AL,207811,1125
Walker County,AL,64058,1127
Washington County,AL,16531,1129
Wilcox County,AL,10719,1131
Winston County,AL,23722,1133
Alaska,AK,739795,
Aleutians East Borough,AK,3370,2013
Aleutians West Census Area,AK,5763,2016
Anchorage Municipality,AK,294356,2020
Bethel Census Area,AK,18076,2050
Bristol Bay Borough,AK,867,2060
Denali Borough,AK,2074,2068
Dillingham Census Area,AK,4932,2070
Fairbanks North Star Borough,AK,99703,2090
Haines Borough,AK,2526,2100
Hoonah-Angoon Census Area,AK,2145,2105
Juneau City and Borough,AK,32094,2110
