FIPS,COUNTY,RPL_THEMES,pres_r,n
1001,Autauga,0.4354,96.7,0.0
1003,Baldwin,0.2162,93.6,0.0
1005,Barbour,0.9959,86.0,1.0
1007,Bibb,0.6003,81.1,0.0
1009,Blount,0.4242,45.4,0.0
1011,Bullock,0.8898,24.8,0.0
1013,Butler,0.8653,106.0,0.0
1015,Calhoun,0.8252,129.9,1.0
1017,Chambers,0.7382,117.1,0.0
1019,Cherokee,0.4516,129.2,0.0
1021,Chilton,0.7602,96.0,1.0
1023,Choctaw,0.8748,67.4,0.0
1025,Clarke,0.8471,144.4,0.0
1027,Clay,0.564,105.7,0.0
1029,Cleburne,0.5417,38.2,0.0
1031,Coffee,0.5408,114.2,0.0
1033,Colbert,0.4274,167.0,1.0
1035,Conecuh,0.8086,88.5,0.0
1037,Coosa,0.5261,24.4,0.0
1039,Covington,0.7723,135.1,0.0
1041,Crenshaw,0.6873,59.8,0.0
1043,Cullman,0.5182,126.7,1.0
1045,Dale,0.7599,69.6,0.0
1047,Dallas,0.949,82.0,0.0
1049,DeKalb,0.8022,98.2,0.0
1051,Elmore,0.5401,98.5,0.0
1053,Escambia,0.8557,137.4,0.0
1055,Etowah,0.6564,126.1,1.0
1057,Fayette,0.7038,92.2,0.0
1059,Franklin,0.8417,152.3,0.0
1061,Geneva,0.7955,38.9,1.0
1063,Greene,0.9854,36.8,0.0
1065,Hale,0.9599,74.6,0.0
1067,Henry,0.5519,21.3,0.0
1069,Houston,0.6838,127.8,2.0
1071,Jackson,0.5726,130.5,1.0
1073,Jefferson,0.6621,95.8,8.0
1075,Lamar,0.6264,82.0,0.0
1077,Lauderdale,0.4468,100.8,1.0
1079,Lawrence,0.4952,88.0,0.0
1081,Lee,0.6602,52.2,0.0
1083,Limestone,0.5296,61.4,2.0
1085,Lowndes,0.9188,97.5,0.0
1087,Macon,0.8971,42.4,1.0
1089,Madison,0.3076,85.4,6.0
1091,Marengo,0.7621,147.9,0.0
1093,Marion,0.671,140.2,2.0
1095,Marshall,0.7261,151.9,0.0
1097,Mobile,0.7532,107.6,5.0
1099,Monroe,0.7481,109.8,0.0
1101,Montgomery,0.8427,70.3,2.0
1103,Morgan,0.6895,108.9,0.0
1105,Perry,0.9949,0.1,0.0
1107,Pickens,0.9207,63.4,0.0
1109,Pike,0.9016,90.1,0.0
1111,Randolph,0.7191,86.0,0.0
1113,Russell,0.9115,92.9,0.0
1115,St. Clair,0.3656,100.1,0.0
1117,Shelby,0.1169,81.2,1.0
1119,Sumter,0.9557,27.8,0.0
1121,Talladega,0.8736,108.5,0.0
1123,Tallapoosa,0.8863,93.0,0.0
1125,Tuscaloosa,0.6255,89.1,1.0
1127,Walker,0.7452,204.8,2.0
1129,Washington,0.7303,44.0,0.0
1131,Wilcox,0.928,50.9,0.0
1133,Winston,0.7025,143.4,0.0
