FIPS,COUNTY,RPL_THEMES,pres_r,n
5001,Arkansas,0.7787,110.4,0
5003,Ashley,0.8576,100.7,1
5005,Baxter,0.2793,107.3,1
5007,Benton,0.2707,69.1,2
5009,Boone,0.4379,126,1
5011,Bradley,0.9803,97.7,2
5013,Calhoun,0.5481,65.4,0
5015,Carroll,0.5952,70.3,2
5017,Chicot,0.9968,79.5,0
5019,Clark,0.7892,97.4,0
5021,Clay,0.6529,105.9,0
5023,Cleburne,0.2083,102.7,1
5025,Cleveland,0.5643,9.7,0
5027,Columbia,0.9398,93.9,0
5029,Conway,0.7589,103.3,0
5031,Craighead,0.8041,125.8,1
5033,Crawford,0.6105,132.1,1
5035,Crittenden,0.9341,93.5,0
5037,Cross,0.7013,98.5,0
5039,Dallas,0.8777,74.2,0
5041,Desha,0.9596,102.2,1
5043,Drew,0.801,113,1
5045,Faulkner,0.4774,76,1
5047,Franklin,0.5943,13.7,1
5049,Fulton,0.6688,98.9,0
5051,Garland,0.828,138.6,2
5053,Grant,0.3541,61.1,1
5055,Greene,0.5834,155.7,0
5057,Hempstead,0.9468,100.9,1
5059,Hot Spring,0.8188,82.6,0
5061,Howard,0.9045,138,0
5063,Independence,0.7525,129.3,0
5065,Izard,0.5697,93.4,0
5067,Jackson,0.765,115.6,0
5069,Jefferson,0.9436,96,2
5071,Johnson,0.8768,104.3,1
5073,Lafayette,0.7898,99.8,0
5075,Lawrence,0.6471,27,0
5077,Lee,0.9656,56.4,0
5079,Lincoln,0.8134,50.6,1
5081,Little River,0.6306,145.3,0
5083,Logan,0.8045,27.8,2
5085,Lonoke,0.3309,85.5,0
5087,Madison,0.6535,69.5,1
5089,Marion,0.5175,56.3,0
5091,Miller,0.9124,94.2,2
5093,Mississippi,0.9554,125.5,0
5095,Monroe,0.8516,75.6,0
5097,Montgomery,0.7,74.4,0
5099,Nevada,0.8841,93.5,0
5101,Newton,0.2815,93.5,0
5103,Ouachita,0.8656,123.8,0
5105,Perry,0.636,48.3,0
5107,Phillips,0.9239,120.8,1
5109,Pike,0.7124,76.2,0
5111,Poinsett,0.8268,109.2,0
5113,Polk,0.8949,97.1,1
5115,Pope,0.7936,95.3,2
5117,Prairie,0.6548,68.9,0
5119,Pulaski,0.6287,87.1,4
5121,Randolph,0.7166,83.6,0
5123,St. Francis,0.9691,76.3,1
5125,Saline,0.3325,80.8,1
5127,Scott,0.8873,110,1
5129,Searcy,0.4376,74.3,1
5131,Sebastian,0.8328,141.9,2
5133,Sevier,0.7675,43.4,2
5135,Sharp,0.6191,116.3,0
5137,Stone,0.5102,145.4,1
5139,Union,0.8054,107.1,1
5141,Van Buren,0.7226,97.8,1
5143,Washington,0.6745,76.2,4
5145,White,0.7446,98.6,0
5147,Woodruff,0.849,8.1,0
5149,Yell,0.8783,55.2,0
