FIPS,COUNTY,RPL_THEMES,pres_r,n
6001,Alameda,0.4701,22,13
6003,Alpine,0.7287,35.1,0
6005,Amador,0.5334,85.1,1
6007,Butte,0.8064,89.4,6
6009,Calaveras,0.235,58.7,0
6011,Colusa,0.7436,30.9,0
6013,Contra Costa,0.4057,31.4,5
6015,Del Norte,0.9713,97.3,1
6017,El Dorado,0.1838,47.2,1
6019,Fresno,0.9611,48.3,8
6021,Glenn,0.8895,67.4,1
6023,Humboldt,0.7605,67,1
6025,Imperial,0.9978,44.1,3
6027,Inyo,0.5701,41.6,2
6029,Kern,0.9659,48.5,5
6031,Kings,0.9707,54.5,0
6033,Lake,0.9178,77.3,0
6035,Lassen,0.5997,51.7,0
6037,Los Angeles,0.7682,27.4,78
6039,Madera,0.9541,37,0
6041,Marin,0.2701,28.4,2
6043,Mariposa,0.5293,47.6,0
6045,Mendocino,0.8818,81.7,1
6047,Merced,0.9717,47.9,1
6049,Modoc,0.7516,50.5,1
6051,Mono,0.1408,37.9,1
6053,Monterey,0.799,38.2,3
6055,Napa,0.5051,32.1,0
6057,Nevada,0.2045,61.8,2
6059,Orange,0.4191,33.8,26
6061,Placer,0.1519,49.3,3
6063,Plumas,0.2653,66.6,0
6065,Riverside,0.7939,39.8,24
6067,Sacramento,0.7338,38.2,13
6069,San Benito,0.5245,36.1,0
6071,San Bernardino,0.901,41.6,10
6073,San Diego,0.5596,29.9,24
6075,San Francisco,0.3911,23,9
6077,San Joaquin,0.8892,40.4,6
6079,San Luis Obispo,0.3739,58.6,3
6081,San Mateo,0.265,23.8,1
6083,Santa Barbara,0.7111,42.4,5
6085,Santa Clara,0.3557,18.3,8
6087,Santa Cruz,0.543,41.6,2
6089,Shasta,0.7022,84.3,6
6091,Sierra,0.0452,5.5,0
6093,Siskiyou,0.7223,93.3,0
6095,Solano,0.5911,31.8,4
6097,Sonoma,0.4035,40.1,3
6099,Stanislaus,0.8675,65.6,2
6101,Sutter,0.8822,76.3,0
6103,Tehama,0.9624,70.8,0
6105,Trinity,0.7411,72.7,0
6107,Tulare,0.9417,51.2,3
6109,Tuolumne,0.4688,85.8,1
6111,Ventura,0.4828,43.9,7
6113,Yolo,0.6768,35.7,2
6115,Yuba,0.942,61.7,2
