FIPS,COUNTY,RPL_THEMES,pres_r,n
8001,Adams,0.5892,39.7,5.0
8003,Alamosa,0.9452,98.4,2.0
8005,Arapahoe,0.2662,44.0,11.0
8007,Archuleta,0.257,59.1,0.0
8009,Baca,0.6086,67.6,1.0
8011,Bent,0.8981,34.3,1.0
8013,Boulder,0.1704,37.0,7.0
8014,Broomfield,0.049,41.1,0.0
8015,Chaffee,0.2389,71.9,0.0
8017,Cheyenne,0.2589,48.6,0.0
8019,Clear Creek,0.0197,27.3,1.0
8021,Conejos,0.9325,0.0,2.0
8023,Costilla,0.9379,45.1,1.0
8025,Crowley,0.893,23.1,1.0
8027,Custer,0.2433,45.1,0.0
8029,Delta,0.6866,65.6,0.0
8031,Denver,0.4197,29.2,15.0
8033,Dolores,0.1516,45.1,0.0
8035,Douglas,0.015,41.7,0.0
8037,Eagle,0.1369,33.4,0.0
8039,Elbert,0.0,27.4,1.0
8041,El Paso,0.3927,51.9,11.0
8043,Fremont,0.6525,55.9,2.0
8045,Garfield,0.351,51.0,2.0
8047,Gilpin,0.0022,45.1,1.0
8049,Grand,0.0987,33.5,0.0
8051,Gunnison,0.1392,36.7,0.0
8053,Hinsdale,0.0624,45.1,0.0
8055,Huerfano,0.5955,74.1,0.0
8057,Jackson,0.1137,45.1,0.0
8059,Jefferson,0.0627,53.2,20.0
8061,Kiowa,0.3188,93.2,0.0
8063,Kit Carson,0.5153,45.0,1.0
8065,Lake,0.4452,39.2,0.0
8067,La Plata,0.1086,42.5,5.0
8069,Larimer,0.1194,44.8,3.0
8071,Las Animas,0.8373,100.8,0.0
8073,Lincoln,0.4857,34.2,1.0
8075,Logan,0.628,68.9,1.0
8077,Mesa,0.5755,59.5,2.0
8079,Mineral,0.0261,45.1,0.0
8081,Moffat,0.5471,75.8,1.0
8083,Montezuma,0.4946,63.8,2.0
8085,Montrose,0.7153,65.8,1.0
8087,Morgan,0.7414,50.5,1.0
8089,Otero,0.9561,84.2,3.0
8091,Ouray,0.0239,1.5,0.0
8093,Park,0.0006,45.1,0.0
8095,Phillips,0.2955,45.1,1.0
8097,Pitkin,0.0656,17.9,0.0
8099,Prowers,0.9392,55.6,2.0
8101,Pueblo,0.8669,83.4,6.0
8103,Rio Blanco,0.3401,26.1,0.0
8105,Rio Grande,0.9586,62.3,2.0
8107,Routt,0.0634,40.0,0.0
8109,Saguache,0.807,45.1,1.0
8111,San Juan,0.1283,45.1,0.0
8113,San Miguel,0.0331,20.3,0.0
8115,Sedgwick,0.6936,45.1,1.0
8117,Summit,0.0707,45.9,0.0
8119,Teller,0.0729,74.9,0.0
8121,Washington,0.2822,45.1,1.0
8123,Weld,0.3994,40.6,1.0
8125,Yuma,0.5637,47.0,2.0
