FIPS,COUNTY,RPL_THEMES,pres_r,n
12001,Alachua,0.4729,57.8,3
12003,Baker,0.6803,89,0
12005,Bay,0.6076,97.5,5
12007,Bradford,0.9264,70.4,0
12009,Brevard,0.3713,74.2,5
12011,Broward,0.5844,39,18
12013,Calhoun,0.8401,65.8,0
12015,Charlotte,0.4889,66.5,1
12017,Citrus,0.6022,89.9,0
12019,Clay,0.3803,69.9,1
12021,Collier,0.4618,45.4,3
12023,Columbia,0.8596,94.9,1
12027,DeSoto,0.9618,47,0
12029,Dixie,0.8994,39.1,0
12031,Duval,0.692,70.9,9
12033,Escambia,0.4863,89.4,4
12035,Flagler,0.2799,66.2,1
12037,Franklin,0.8083,55.6,1
12039,Gadsden,0.9901,46,1
12041,Gilchrist,0.7567,37.1,0
12043,Glades,0.9048,3.8,0
12045,Gulf,0.592,81.2,0
12047,Hamilton,0.9908,33.8,0
12049,Hardee,0.9831,31.5,0
12051,Hendry,0.9939,56,0
12053,Hernando,0.549,91.9,1
12055,Highlands,0.8729,65.7,1
12057,Hillsborough,0.6701,52.6,15
12059,Holmes,0.9347,70.9,0
12061,Indian River,0.3962,81.2,1
12063,Jackson,0.9583,91,1
12065,Jefferson,0.5748,39.9,0
12067,Lafayette,0.9806,42.3,0
12069,Lake,0.6029,65,1
12071,Lee,0.5525,55.1,4
12073,Leon,0.4943,57,4
12075,Levy,0.7793,86.1,0
12077,Liberty,0.8334,33.3,0
12079,Madison,0.9608,71.6,0
12081,Manatee,0.5197,62.4,2
12083,Marion,0.7535,73.2,3
12085,Martin,0.399,64.8,5
12086,Miami-Dade,0.8175,24.1,21
12087,Monroe,0.4557,64.9,4
12089,Nassau,0.2459,86.2,1
12091,Okaloosa,0.386,65.9,3
12093,Okeechobee,0.9465,86.3,0
12095,Orange,0.6691,36,13
12097,Osceola,0.8178,39.8,4
12099,Palm Beach,0.5592,48.3,31
12101,Pasco,0.6344,71.2,4
12103,Pinellas,0.5169,67.2,7
12105,Polk,0.9035,58.8,5
12107,Putnam,0.9525,87.5,0
12109,St. Johns,0.0761,51.2,2
12111,St. Lucie,0.7185,54.8,4
12113,Santa Rosa,0.3096,77.4,2
12115,Sarasota,0.2538,65.8,6
12117,Seminole,0.1844,45.8,3
12119,Sumter,0.236,65.6,0
12121,Suwannee,0.9424,72.2,0
12123,Taylor,0.8984,103.3,1
12125,Union,0.8382,46.8,0
12127,Volusia,0.5347,64.3,4
12129,Wakulla,0.4032,67.8,1
12131,Walton,0.5822,74.8,1
12133,Washington,0.8939,108.9,0
