FIPS,COUNTY,RPL_THEMES,pres_r,n
13001,Appling,0.9669,103.3,0
13003,Atkinson,0.9615,56.8,0
13005,Bacon,0.9389,172.7,0
13007,Baker,0.7424,63.2,0
13009,Baldwin,0.8666,81.1,0
13011,Banks,0.5586,39.5,0
13013,Barrow,0.4204,68.4,3
13015,Bartow,0.5914,87.4,2
13017,Ben Hill,0.8726,162.5,0
13019,Berrien,0.85,47.3,0
13021,Bibb,0.9175,107.2,3
13023,Bleckley,0.7395,110.5,0
13025,Brantley,0.6229,47.5,0
13027,Brooks,0.8398,87.6,0
13029,Bryan,0.3389,69,0
13031,Bulloch,0.8121,68.6,1
13033,Burke,0.8455,66.5,0
13035,Butts,0.7653,68.1,1
13037,Calhoun,0.9774,0.1,0
13039,Camden,0.5159,54.4,1
13043,Candler,0.9828,135.1,0
13045,Carroll,0.7825,100.3,3
13047,Catoosa,0.1318,91.8,3
13049,Charlton,0.8752,87.2,0
13051,Chatham,0.6949,69.1,8
13053,Chattahoochee,0.6379,63.2,0
13055,Chattooga,0.9252,106.2,0
13057,Cherokee,0.1185,56.4,1
13059,Clarke,0.7675,81.2,2
13061,Clay,0.9309,32.3,0
13063,Clayton,0.9102,34.1,1
13065,Clinch,0.9777,132.3,0
13067,Cobb,0.2669,47.1,9
13069,Coffee,0.9506,155.4,0
13071,Colquitt,0.9812,80.1,0
13073,Columbia,0.1334,62.8,1
13075,Cook,0.851,97.7,0
13077,Coweta,0.2427,68.2,2
13079,Crawford,0.6815,6.3,0
13081,Crisp,0.9857,160.7,0
13083,Dade,0.5156,51.1,1
13085,Dawson,0.1038,130.8,1
13087,Decatur,0.9455,109.1,1
13089,DeKalb,0.6611,35.4,7
13091,Dodge,0.9223,73,1
13093,Dooly,0.9484,0,0
13095,Dougherty,0.9513,90.4,1
13097,Douglas,0.5404,75.4,1
13099,Early,0.9201,108.6,0
13101,Echols,0.6615,63.2,0
13103,Effingham,0.2363,62,0
13105,Elbert,0.8338,130.6,0
13107,Emanuel,0.9768,95.9,0
13109,Evans,0.9847,90.6,0
13111,Fannin,0.3003,122.1,0
13113,Fayette,0.0608,74.5,1
13115,Floyd,0.8854,121.8,2
13117,Forsyth,0.0373,41.3,1
13119,Franklin,0.8462,112.4,0
13121,Fulton,0.5268,38.3,10
13123,Gilmer,0.5599,112.7,1
13125,Glascock,0.686,63.2,0
13127,Glynn,0.7159,78.2,2
13129,Gordon,0.8806,95.6,1
13131,Grady,0.9258,66.5,0
13133,Greene,0.5379,104.3,0
13135,Gwinnett,0.4347,38.1,5
13137,Habersham,0.7146,87.2,0
13139,Hall,0.6618,77.6,2
13141,Hancock,0.7984,37.7,0
13143,Haralson,0.5427,158.1,0
13145,Harris,0.1341,5.7,0
13147,Hart,0.7194,90.7,0
13149,Heard,0.7232,0,0
13151,Henry,0.3137,63.3,3
13153,Houston,0.5669,76.8,2
13155,Irwin,0.8408,59.7,0
13157,Jackson,0.3516,97.4,2
13159,Jasper,0.6927,47.7,0
13161,Jeff Davis,0.9373,72.5,0
13163,Jefferson,0.9439,91.3,0
13165,Jenkins,0.8283,16.9,0
13167,Johnson,0.9061,63.2,0
13169,Jones,0.3793,45.5,0
13171,Lamar,0.4917,67.1,0
13173,Lanier,0.8697,66.4,0
13175,Laurens,0.8013,100.6,1
13177,Lee,0.3519,40.4,0
13179,Liberty,0.8882,46.5,0
13181,Lincoln,0.5564,30.1,0
13183,Long,0.8271,63.2,0
13185,Lowndes,0.8662,83.5,2
13187,Lumpkin,0.4338,66.9,0
13189,McDuffie,0.9376,118.5,0
13191,McIntosh,0.5863,45.4,0
13193,Macon,0.9312,68.9,0
