,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,13001,Appling,0.9669,103.3,0.0,GA,0.3318342434950209
1,13003,Atkinson,0.9615,56.8,0.0,GA,0.1824606488917443
2,13005,Bacon,0.9389,172.7,0.0,GA,0.5547703180212014
3,13007,Baker,0.7424,63.2,0.0,GA,0.20301959524574364
4,13009,Baldwin,0.8666,81.1,0.0,GA,0.26052039832958557
5,13011,Banks,0.5586,39.5,0.0,GA,0.12688724702858978
6,13013,Barrow,0.4204,68.4,3.0,GA,0.21972373915836815
7,13015,Bartow,0.5914,87.4,2.0,GA,0.2807581111468037
8,13017,Ben Hill,0.8726,162.5,0.0,GA,0.5220044972695149
9,13019,Berrien,0.85,47.3,0.0,GA,0.1519434628975265
10,13021,Bibb,0.9175,107.2,3.0,GA,0.34436235142948923
11,13023,Bleckley,0.7395,110.5,0.0,GA,0.35496305814327017
12,13025,Brantley,0.6229,47.5,0.0,GA,0.15258592997108897
13,13027,Brooks,0.8398,87.6,0.0,GA,0.2814005782203662
14,13029,Bryan,0.3389,69.0,0.0,GA,0.22165114037905556
15,13031,Bulloch,0.8121,68.6,1.0,GA,0.2203662062319306
16,13033,Burke,0.8455,66.5,0.0,GA,0.21362030195952456
17,13035,Butts,0.7653,68.1,1.0,GA,0.2187600385480244
18,13037,Calhoun,0.9774,0.1,0.0,GA,0.00032123353678124
19,13039,Camden,0.5159,54.4,1.0,GA,0.17475104400899452
20,13043,Candler,0.9828,135.1,0.0,GA,0.4339865081914552
21,13045,Carroll,0.7825,100.3,3.0,GA,0.3221972373915837
22,13047,Catoosa,0.1318,91.8,3.0,GA,0.29489238676517826
23,13049,Charlton,0.8752,87.2,0.0,GA,0.28011564407324124
24,13051,Chatham,0.6949,69.1,8.0,GA,0.2219723739158368
25,13053,Chattahoochee,0.6379,63.2,0.0,GA,0.20301959524574364
26,13055,Chattooga,0.9252,106.2,0.0,GA,0.34115001606167683
27,13057,Cherokee,0.1185,56.4,1.0,GA,0.18117571474461933
28,13059,Clarke,0.7675,81.2,2.0,GA,0.26084163186636683
29,13061,Clay,0.9309,32.3,0.0,GA,0.10375843238034049
30,13063,Clayton,0.9102,34.1,1.0,GA,0.10954063604240283
31,13065,Clinch,0.9777,132.3,0.0,GA,0.4249919691615805
32,13067,Cobb,0.2669,47.1,9.0,GA,0.15130099582396403
33,13069,Coffee,0.9506,155.4,0.0,GA,0.4991969161580469
34,13071,Colquitt,0.9812,80.1,0.0,GA,0.25730806296177317
35,13073,Columbia,0.1334,62.8,1.0,GA,0.20173466109861868
36,13075,Cook,0.851,97.7,0.0,GA,0.31384516543527147
37,13077,Coweta,0.2427,68.2,2.0,GA,0.21908127208480566
38,13079,Crawford,0.6815,6.3,0.0,GA,0.020237712817218118
39,13081,Crisp,0.9857,160.7,0.0,GA,0.5162222936074525
40,13083,Dade,0.5156,51.1,1.0,GA,0.1641503372952136
41,13085,Dawson,0.1038,130.8,1.0,GA,0.4201734661098619
