FIPS,COUNTY,RPL_THEMES,pres_r,n
19001,Adair,0.0538,36.7,0.0
19003,Adams,0.0376,53.7,0.0
19005,Allamakee,0.322,26.3,0.0
19007,Appanoose,0.3783,90.4,1.0
19009,Audubon,0.0226,67.1,0.0
19011,Benton,0.0118,7.9,0.0
19013,Black Hawk,0.4264,58.9,2.0
19015,Boone,0.1178,47.7,0.0
19017,Bremer,0.0322,37.4,0.0
19019,Buchanan,0.0662,29.0,0.0
19021,Buena Vista,0.7408,32.2,0.0
19023,Butler,0.0236,15.7,0.0
19025,Calhoun,0.158,61.8,0.0
19027,Carroll,0.0455,73.9,0.0
19029,Cass,0.1981,79.2,0.0
19031,Cedar,0.008,15.7,0.0
19033,Cerro Gordo,0.2497,65.4,0.0
19035,Cherokee,0.1701,31.3,0.0
19037,Chickasaw,0.0599,18.6,0.0
19039,Clarke,0.4847,79.5,1.0
19041,Clay,0.3439,89.8,0.0
19043,Clayton,0.1841,14.3,0.0
19045,Clinton,0.2646,63.6,1.0
19047,Crawford,0.8551,49.4,0.0
19049,Dallas,0.0596,19.8,0.0
19051,Davis,0.3503,36.1,0.0
19053,Decatur,0.6822,54.2,1.0
19055,Delaware,0.0344,39.2,0.0
19057,Des Moines,0.4653,75.4,1.0
19059,Dickinson,0.0917,64.5,0.0
19061,Dubuque,0.2347,50.2,1.0
19063,Emmet,0.3946,45.7,0.0
19065,Fayette,0.2252,53.8,0.0
19067,Floyd,0.3596,48.2,0.0
19069,Franklin,0.1962,49.3,0.0
19071,Fremont,0.0554,33.0,0.0
19073,Greene,0.1978,70.8,0.0
19075,Grundy,0.0038,35.0,0.0
19077,Guthrie,0.122,36.5,0.0
19079,Hamilton,0.1153,50.4,0.0
19081,Hancock,0.0713,49.3,0.0
19083,Hardin,0.1242,57.7,0.0
19085,Harrison,0.0646,46.9,0.0
19087,Henry,0.3134,54.7,0.0
19089,Howard,0.1567,23.9,0.0
19091,Humboldt,0.1446,47.0,0.0
19093,Ida,0.0866,62.8,0.0
19095,Iowa,0.0347,28.0,0.0
19097,Jackson,0.1268,28.2,0.0
19099,Jasper,0.2548,51.0,2.0
19101,Jefferson,0.4895,72.6,0.0
19103,Johnson,0.2675,24.8,3.0
19105,Jones,0.1924,25.8,0.0
19107,Keokuk,0.0398,49.3,0.0
19109,Kossuth,0.1048,31.3,0.0
19111,Lee,0.5041,94.0,0.0
19113,Linn,0.1806,46.5,2.0
19115,Louisa,0.457,19.6,0.0
19117,Lucas,0.2755,77.0,1.0
19119,Lyon,0.0439,22.2,0.0
19121,Madison,0.0204,62.9,0.0
19123,Mahaska,0.4637,60.8,0.0
19125,Marion,0.1949,52.1,1.0
19127,Marshall,0.6863,57.2,0.0
19129,Mills,0.1076,39.6,0.0
19131,Mitchell,0.086,24.6,0.0
19133,Monona,0.1796,80.8,0.0
19135,Monroe,0.2519,66.1,1.0
19137,Montgomery,0.528,101.8,0.0
19139,Muscatine,0.3904,48.8,0.0
19141,O'Brien,0.2322,51.6,0.0
19143,Osceola,0.2634,28.8,0.0
19145,Page,0.3341,88.2,0.0
19147,Palo Alto,0.1729,27.8,1.0
19149,Plymouth,0.1271,39.6,0.0
19151,Pocahontas,0.1462,47.7,0.0
19153,Polk,0.3768,58.5,9.0
19155,Pottawattamie,0.4599,68.6,2.0
19157,Poweshiek,0.1548,44.4,0.0
19159,Ringgold,0.1299,60.7,0.0
19161,Sac,0.0748,15.6,0.0
19163,Scott,0.2659,55.2,2.0
19165,Shelby,0.1303,48.5,0.0
19167,Sioux,0.2207,21.2,0.0
19169,Story,0.2124,31.8,1.0
19171,Tama,0.3274,26.9,0.0
19173,Taylor,0.2771,49.3,0.0
19175,Union,0.4455,104.5,0.0
19177,Van Buren,0.2465,24.9,0.0
19179,Wapello,0.7439,76.2,1.0
19181,Warren,0.072,41.9,0.0
19183,Washington,0.2239,39.2,0.0
19185,Wayne,0.4583,56.0,1.0
19187,Webster,0.458,65.3,0.0
19189,Winnebago,0.2061,46.2,0.0
19191,Winneshiek,0.0115,38.4,1.0
19193,Woodbury,0.6968,61.7,2.0
19195,Worth,0.0697,0.1,0.0
19197,Wright,0.4803,41.5,0.0
