,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,19001,Adair,0.0538,36.7,0.0,IA,0.11789270799871507
1,19003,Adams,0.0376,53.7,0.0,IA,0.17250240925152585
2,19005,Allamakee,0.322,26.3,0.0,IA,0.08448442017346611
3,19007,Appanoose,0.3783,90.4,1.0,IA,0.2903951172502409
4,19009,Audubon,0.0226,67.1,0.0,IA,0.215547703180212
5,19011,Benton,0.0118,7.9,0.0,IA,0.025377449405717956
6,19013,Black Hawk,0.4264,58.9,2.0,IA,0.18920655316415033
7,19015,Boone,0.1178,47.7,0.0,IA,0.15322839704465147
8,19017,Bremer,0.0322,37.4,0.0,IA,0.12014134275618374
9,19019,Buchanan,0.0662,29.0,0.0,IA,0.09315772566655958
10,19021,Buena Vista,0.7408,32.2,0.0,IA,0.10343719884355927
11,19023,Butler,0.0236,15.7,0.0,IA,0.05043366527465467
12,19025,Calhoun,0.158,61.8,0.0,IA,0.19852232573080628
13,19027,Carroll,0.0455,73.9,0.0,IA,0.23739158368133634
14,19029,Cass,0.1981,79.2,0.0,IA,0.254416961130742
15,19031,Cedar,0.008,15.7,0.0,IA,0.05043366527465467
16,19033,Cerro Gordo,0.2497,65.4,0.0,IA,0.21008673305493095
17,19035,Cherokee,0.1701,31.3,0.0,IA,0.1005460970125281
18,19037,Chickasaw,0.0599,18.6,0.0,IA,0.059749437841310635
19,19039,Clarke,0.4847,79.5,1.0,IA,0.25538066174108576
20,19041,Clay,0.3439,89.8,0.0,IA,0.28846771602955346
21,19043,Clayton,0.1841,14.3,0.0,IA,0.045936395759717315
22,19045,Clinton,0.2646,63.6,1.0,IA,0.2043045293928686
23,19047,Crawford,0.8551,49.4,0.0,IA,0.15868936716993254
24,19049,Dallas,0.0596,19.8,0.0,IA,0.0636042402826855
25,19051,Davis,0.3503,36.1,0.0,IA,0.11596530677802763
26,19053,Decatur,0.6822,54.2,1.0,IA,0.17410857693543205
27,19055,Delaware,0.0344,39.2,0.0,IA,0.12592354641824607
28,19057,Des Moines,0.4653,75.4,1.0,IA,0.24221008673305494
29,19059,Dickinson,0.0917,64.5,0.0,IA,0.20719563122389978
30,19061,Dubuque,0.2347,50.2,1.0,IA,0.16125923546418247
31,19063,Emmet,0.3946,45.7,0.0,IA,0.14680372630902666
32,19065,Fayette,0.2252,53.8,0.0,IA,0.17282364278830709
33,19067,Floyd,0.3596,48.2,0.0,IA,0.15483456472855767
34,19069,Franklin,0.1962,49.3,0.0,IA,0.15836813363315128
35,19071,Fremont,0.0554,33.0,0.0,IA,0.10600706713780918
36,19073,Greene,0.1978,70.8,0.0,IA,0.22743334404111787
37,19075,Grundy,0.0038,35.0,0.0,IA,0.11243173787343398
