FIPS,COUNTY,RPL_THEMES,pres_r,n
17001,Adams,0.249,95.5,2
17003,Alexander,0.9573,45.2,0
17005,Bond,0.3732,41.9,1
17007,Boone,0.4697,40.4,0
17009,Brown,0.4745,0.1,0
17011,Bureau,0.2863,26.5,0
17013,Calhoun,0.1901,0,0
17015,Carroll,0.1682,30.1,1
17017,Cass,0.6971,17.5,2
17019,Champaign,0.499,51.5,3
17021,Christian,0.2408,62.9,0
17023,Clark,0.2073,51,0
17025,Clay,0.6115,55.3,0
17027,Clinton,0.1787,25.9,0
17029,Coles,0.4978,76,0
17031,Cook,0.6755,32.5,112
17033,Crawford,0.3838,21,0
17035,Cumberland,0.1627,45.2,0
17037,DeKalb,0.4866,48.7,1
17039,De Witt,0.129,63.2,0
17041,Douglas,0.4439,25.8,0
17043,DuPage,0.1611,37.9,11
17045,Edgar,0.3433,66.2,0
17047,Edwards,0.2443,70.1,0
17049,Effingham,0.199,54.2,0
17051,Fayette,0.5949,48.3,0
17053,Ford,0.3051,0,0
17055,Franklin,0.6092,106.1,1
17057,Fulton,0.5761,69.8,0
17059,Gallatin,0.4538,30,0
17061,Greene,0.1952,0.1,0
17063,Grundy,0.0844,73.6,0
17065,Hamilton,0.1529,45.2,0
17067,Hancock,0.1232,16.7,0
17069,Hardin,0.5019,206.7,0
17071,Henderson,0.0669,45.2,0
17073,Henry,0.201,49.1,0
17075,Iroquois,0.3404,47.5,0
17077,Jackson,0.7045,77.8,5
17079,Jasper,0.2417,34.2,0
17081,Jefferson,0.8108,89.3,0
17083,Jersey,0.1041,100.3,0
17085,Jo Daviess,0.0525,17.9,0
17087,Johnson,0.4624,24.5,2
17089,Kane,0.4169,33.6,11
17091,Kankakee,0.6656,66.6,2
17093,Kendall,0.1398,41.9,1
17095,Knox,0.6462,85,1
17097,Lake,0.3513,42.3,8
17099,LaSalle,0.4303,70.6,2
17101,Lawrence,0.7783,74.9,0
17103,Lee,0.301,58.9,3
17105,Livingston,0.4841,63.6,1
17107,Logan,0.2271,61.7,0
17109,McDonough,0.5166,66.9,0
17111,McHenry,0.0701,52.1,3
17113,McLean,0.1904,46.4,1
17115,Macon,0.5971,76.1,2
17117,Macoupin,0.1987,30.1,3
17119,Madison,0.2965,85.7,5
17121,Marion,0.7385,107.2,2
17123,Marshall,0.0545,40.7,0
17125,Mason,0.2946,42.3,0
17127,Massac,0.7513,131.4,1
17129,Menard,0.0484,20.4,0
17131,Mercer,0.1134,15.4,0
17133,Monroe,0.0016,65.4,0
17135,Montgomery,0.3914,95.5,0
17137,Morgan,0.5045,96.7,1
17139,Moultrie,0.2949,27.7,0
17141,Ogle,0.2917,19.7,2
17143,Peoria,0.6131,60.2,3
17145,Perry,0.6487,40.8,0
17147,Piatt,0.0032,22.9,0
17149,Pike,0.3494,38.5,0
17151,Pope,0.4545,5.5,0
17153,Pulaski,0.6943,54.9,0
17155,Putnam,0.0277,24.3,0
17157,Randolph,0.4567,51.5,3
17159,Richland,0.4105,76.1,1
17161,Rock Island,0.7137,66.3,1
17163,St. Clair,0.5229,59.8,3
17165,Saline,0.8637,177,2
17167,Sangamon,0.4357,73.9,5
17169,Schuyler,0.5707,31.4,0
17171,Scott,0.1354,45.2,0
17173,Shelby,0.085,29.1,0
17175,Stark,0.0634,45.2,0
17177,Stephenson,0.5,68.4,0
17179,Tazewell,0.107,72.8,3
17181,Union,0.6844,119.6,2
17183,Vermilion,0.8131,71.9,1
17185,Wabash,0.3207,68.5,0
17187,Warren,0.6073,60.7,0
17189,Washington,0.0653,28.4,1
17191,Wayne,0.4331,64.3,0
17193,White,0.5382,75.6,0
17195,Whiteside,0.3283,47.4,1
17197,Will,0.2022,44.8,6
17199,Williamson,0.4806,121.5,7
17201,Winnebago,0.7204,77.4,4
17203,Woodford,0.0188,24.1,0
