,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,17001,Adams,0.249,95.5,2.0,IL,0.30677802762608414
1,17003,Alexander,0.9573,45.2,0.0,IL,0.14519755862512046
2,17005,Bond,0.3732,41.9,1.0,IL,0.13459685191133952
3,17007,Boone,0.4697,40.4,0.0,IL,0.12977834885962095
4,17009,Brown,0.4745,0.1,0.0,IL,0.00032123353678124
5,17011,Bureau,0.2863,26.5,0.0,IL,0.08512688724702859
6,17013,Calhoun,0.1901,0.0,0.0,IL,0.0001
7,17015,Carroll,0.1682,30.1,1.0,IL,0.09669129457115323
8,17017,Cass,0.6971,17.5,2.0,IL,0.05621586893671699
9,17019,Champaign,0.499,51.5,3.0,IL,0.16543527144233858
10,17021,Christian,0.2408,62.9,0.0,IL,0.2020558946353999
11,17023,Clark,0.2073,51.0,0.0,IL,0.16382910375843238
12,17025,Clay,0.6115,55.3,0.0,IL,0.1776421458400257
13,17027,Clinton,0.1787,25.9,0.0,IL,0.08319948602634114
14,17029,Coles,0.4978,76.0,0.0,IL,0.24413748795374235
15,17031,Cook,0.6755,32.5,112.0,IL,0.10440089945390299
16,17033,Crawford,0.3838,21.0,0.0,IL,0.06745904272406039
17,17035,Cumberland,0.1627,45.2,0.0,IL,0.14519755862512046
18,17037,DeKalb,0.4866,48.7,1.0,IL,0.15644073241246387
19,17039,De Witt,0.129,63.2,0.0,IL,0.20301959524574364
20,17041,Douglas,0.4439,25.8,0.0,IL,0.0828782524895599
21,17043,DuPage,0.1611,37.9,11.0,IL,0.12174751044008994
22,17045,Edgar,0.3433,66.2,0.0,IL,0.21265660134918085
23,17047,Edwards,0.2443,70.1,0.0,IL,0.2251847092836492
24,17049,Effingham,0.199,54.2,0.0,IL,0.17410857693543205
25,17051,Fayette,0.5949,48.3,0.0,IL,0.15515579826533887
26,17053,Ford,0.3051,0.0,0.0,IL,0.0001
27,17055,Franklin,0.6092,106.1,1.0,IL,0.34082878252489557
28,17057,Fulton,0.5761,69.8,0.0,IL,0.22422100867330547
29,17059,Gallatin,0.4538,30.0,0.0,IL,0.09637006103437198
30,17061,Greene,0.1952,0.1,0.0,IL,0.00032123353678124
31,17063,Grundy,0.0844,73.6,0.0,IL,0.23642788307099258
32,17065,Hamilton,0.1529,45.2,0.0,IL,0.14519755862512046
33,17067,Hancock,0.1232,16.7,0.0,IL,0.05364600064246707
34,17069,Hardin,0.5019,206.7,0.0,IL,0.6639897205268229
35,17071,Henderson,0.0669,45.2,0.0,IL,0.14519755862512046
36,17073,Henry,0.201,49.1,0.0,IL,0.1577256665595888
37,17075,Iroquois,0.3404,47.5,0.0,IL,0.15258592997108897
38,17077,Jackson,0.7045,77.8,5.0,IL,0.24991969161580468
39,17079,Jasper,0.2417,34.2,0.0,IL,0.10986186957918408
40,17081,Jefferson,0.8108,89.3,0.0,IL,0.28686154834564725
41,17083,Jersey,0.1041,100.3,0.0,IL,0.3221972373915837
42,17085,Jo Daviess,0.0525,17.9,0.0,IL,0.05750080308384194
43,17087,Johnson,0.4624,24.5,2.0,IL,0.07870221651140379
44,17089,Kane,0.4169,33.6,11.0,IL,0.10793446835849663
45,17091,Kankakee,0.6656,66.6,2.0,IL,0.2139415354963058
46,17093,Kendall,0.1398,41.9,1.0,IL,0.13459685191133952
47,17095,Knox,0.6462,85.0,1.0,IL,0.27304850626405397
48,17097,Lake,0.3513,42.3,8.0,IL,0.1358817860584645
49,17099,LaSalle,0.4303,70.6,2.0,IL,0.2267908769675554
50,17101,Lawrence,0.7783,74.9,0.0,IL,0.24060391904914874
51,17103,Lee,0.301,58.9,3.0,IL,0.18920655316415033
52,17105,Livingston,0.4841,63.6,1.0,IL,0.2043045293928686
53,17107,Logan,0.2271,61.7,0.0,IL,0.19820109219402507
54,17109,McDonough,0.5166,66.9,0.0,IL,0.21490523610664955
55,17111,McHenry,0.0701,52.1,3.0,IL,0.167362672663026
56,17113,McLean,0.1904,46.4,1.0,IL,0.14905236106649533
57,17115,Macon,0.5971,76.1,2.0,IL,0.24445872149052358
58,17117,Macoupin,0.1987,30.1,3.0,IL,0.09669129457115323
59,17119,Madison,0.2965,85.7,5.0,IL,0.27529714102152264
60,17121,Marion,0.7385,107.2,2.0,IL,0.34436235142948923
61,17123,Marshall,0.0545,40.7,0.0,IL,0.13074204946996468
62,17125,Mason,0.2946,42.3,0.0,IL,0.1358817860584645
63,17127,Massac,0.7513,131.4,1.0,IL,0.4221008673305493
64,17129,Menard,0.0484,20.4,0.0,IL,0.06553164150337294
65,17131,Mercer,0.1134,15.4,0.0,IL,0.04946996466431095
66,17133,Monroe,0.0016,65.4,0.0,IL,0.21008673305493095
67,17135,Montgomery,0.3914,95.5,0.0,IL,0.30677802762608414
68,17137,Morgan,0.5045,96.7,1.0,IL,0.31063283006745906
69,17139,Moultrie,0.2949,27.7,0.0,IL,0.08898168968840346
70,17141,Ogle,0.2917,19.7,2.0,IL,0.06328300674590427
71,17143,Peoria,0.6131,60.2,3.0,IL,0.19338258914230647
72,17145,Perry,0.6487,40.8,0.0,IL,0.13106328300674588
73,17147,Piatt,0.0032,22.9,0.0,IL,0.07356247992290395
74,17149,Pike,0.3494,38.5,0.0,IL,0.12367491166077738
75,17151,Pope,0.4545,5.5,0.0,IL,0.0176678445229682
76,17153,Pulaski,0.6943,54.9,0.0,IL,0.17635721169290072
77,17155,Putnam,0.0277,24.3,0.0,IL,0.07805974943784132
78,17157,Randolph,0.4567,51.5,3.0,IL,0.16543527144233858
79,17159,Richland,0.4105,76.1,1.0,IL,0.24445872149052358
80,17161,Rock Island,0.7137,66.3,1.0,IL,0.2129778348859621
81,17163,St. Clair,0.5229,59.8,3.0,IL,0.19209765499518147
82,17165,Saline,0.8637,177.0,2.0,IL,0.5685833601027948
83,17167,Sangamon,0.4357,73.9,5.0,IL,0.23739158368133634
84,17169,Schuyler,0.5707,31.4,0.0,IL,0.10086733054930934
85,17171,Scott,0.1354,45.2,0.0,IL,0.14519755862512046
86,17173,Shelby,0.085,29.1,0.0,IL,0.09347895920334083
87,17175,Stark,0.0634,45.2,0.0,IL,0.14519755862512046
88,17177,Stephenson,0.5,68.4,0.0,IL,0.21972373915836815
89,17179,Tazewell,0.107,72.8,3.0,IL,0.23385801477674267
90,17181,Union,0.6844,119.6,2.0,IL,0.38419530999036294
91,17183,Vermilion,0.8131,71.9,1.0,IL,0.23096691294571153
92,17185,Wabash,0.3207,68.5,0.0,IL,0.22004497269514936
93,17187,Warren,0.6073,60.7,0.0,IL,0.19498875682621267
94,17189,Washington,0.0653,28.4,1.0,IL,0.09123032444587215
95,17191,Wayne,0.4331,64.3,0.0,IL,0.20655316415033728
96,17193,White,0.5382,75.6,0.0,IL,0.24285255380661738
97,17195,Whiteside,0.3283,47.4,1.0,IL,0.15226469643430773
98,17197,Will,0.2022,44.8,6.0,IL,0.1439126244779955
99,17199,Williamson,0.4806,121.5,7.0,IL,0.39029874718920654
100,17201,Winnebago,0.7204,77.4,4.0,IL,0.24863475746867975
101,17203,Woodford,0.0188,24.1,0.0,IL,0.07741728236427883
