FIPS,COUNTY,RPL_THEMES,pres_r,n
18001,Adams,0.5904,50.8,2.0
18003,Allen,0.5236,58.2,9.0
18005,Bartholomew,0.3631,72.0,3.0
18007,Benton,0.3347,16.8,0.0
18009,Blackford,0.371,69.2,0.0
18011,Boone,0.0449,51.7,2.0
18013,Brown,0.0602,29.6,1.0
18015,Carroll,0.1175,19.2,0.0
18017,Cass,0.7197,56.5,1.0
18019,Clark,0.2548,84.5,9.0
18021,Clay,0.3338,71.9,0.0
18023,Clinton,0.571,51.0,1.0
18025,Crawford,0.3889,40.1,0.0
18027,Daviess,0.6882,65.1,1.0
18029,Dearborn,0.0799,77.9,1.0
18031,Decatur,0.2102,52.0,2.0
18033,DeKalb,0.2334,50.1,0.0
18035,Delaware,0.5666,81.0,5.0
18037,Dubois,0.208,84.3,2.0
18039,Elkhart,0.7701,51.3,2.0
18041,Fayette,0.6108,96.7,3.0
18043,Floyd,0.1669,104.6,3.0
18045,Fountain,0.2032,83.6,0.0
18047,Franklin,0.1471,38.1,0.0
18049,Fulton,0.3459,82.3,0.0
18051,Gibson,0.315,79.2,0.0
18053,Grant,0.7331,82.3,3.0
18055,Greene,0.4443,64.9,0.0
18057,Hamilton,0.0255,42.1,3.0
18059,Hancock,0.0169,61.9,2.0
18061,Harrison,0.1866,80.2,1.0
18063,Hendricks,0.0815,58.7,2.0
18065,Henry,0.3793,82.7,1.0
18067,Howard,0.4815,102.5,4.0
18069,Huntington,0.1248,63.4,1.0
18071,Jackson,0.5389,59.8,2.0
18073,Jasper,0.2685,102.5,1.0
18075,Jay,0.6748,72.8,0.0
18077,Jefferson,0.4414,89.6,2.0
18079,Jennings,0.3847,75.8,2.0
18081,Johnson,0.1424,68.3,2.0
18083,Knox,0.5927,99.4,3.0
18085,Kosciusko,0.4608,54.7,2.0
18087,LaGrange,0.3707,16.9,2.0
18089,Lake,0.7252,66.8,8.0
18091,LaPorte,0.7217,78.7,2.0
18093,Lawrence,0.2752,104.9,2.0
18095,Madison,0.6713,87.1,7.0
18097,Marion,0.7971,56.7,20.0
18099,Marshall,0.5796,68.7,1.0
18101,Martin,0.2398,80.0,1.0
18103,Miami,0.5879,52.3,0.0
18105,Monroe,0.4519,55.4,4.0
18107,Montgomery,0.3685,77.3,3.0
18109,Morgan,0.2156,90.4,3.0
18111,Newton,0.3366,17.8,1.0
18113,Noble,0.4742,60.7,2.0
18115,Ohio,0.0252,0.1,0.0
18117,Orange,0.6455,75.5,1.0
18119,Owen,0.3455,62.7,1.0
18121,Parke,0.5809,35.4,0.0
18123,Perry,0.3102,78.5,0.0
18125,Pike,0.1745,70.7,0.0
18127,Porter,0.1478,77.0,4.0
18129,Posey,0.0105,52.6,0.0
18131,Pulaski,0.2309,46.6,0.0
18133,Putnam,0.3484,48.6,2.0
18135,Randolph,0.4296,60.6,1.0
18137,Ripley,0.3774,90.7,0.0
18139,Rush,0.2567,56.0,1.0
18141,St. Joseph,0.6223,60.2,3.0
18143,Scott,0.4201,114.3,2.0
18145,Shelby,0.2182,60.0,2.0
18147,Spencer,0.0879,26.6,1.0
18149,Starke,0.3417,91.1,1.0
18151,Steuben,0.271,65.4,1.0
18153,Sullivan,0.6401,65.7,0.0
18155,Switzerland,0.6271,36.1,0.0
18157,Tippecanoe,0.493,51.9,1.0
18159,Tipton,0.0726,40.2,0.0
18161,Union,0.1713,43.5,0.0
18163,Vanderburgh,0.5242,111.0,5.0
18165,Vermillion,0.4503,69.1,1.0
18167,Vigo,0.7274,77.6,3.0
18169,Wabash,0.2882,73.2,1.0
18171,Warren,0.078,65.8,0.0
18173,Warrick,0.0678,67.8,1.0
18175,Washington,0.3777,69.0,2.0
18177,Wayne,0.7105,81.8,3.0
18179,Wells,0.1439,60.8,1.0
18181,White,0.2439,65.2,0.0
18183,Whitley,0.0315,69.8,2.0
