,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,18001,Adams,0.5904,50.8,2.0,IN,0.16318663668486988
1,18003,Allen,0.5236,58.2,9.0,IN,0.18695791840668166
2,18005,Bartholomew,0.3631,72.0,3.0,IN,0.23128814648249277
3,18007,Benton,0.3347,16.8,0.0,IN,0.05396723417924831
4,18009,Blackford,0.371,69.2,0.0,IN,0.22229360745261806
5,18011,Boone,0.0449,51.7,2.0,IN,0.16607773851590107
6,18013,Brown,0.0602,29.6,1.0,IN,0.09508512688724703
7,18015,Carroll,0.1175,19.2,0.0,IN,0.06167683906199807
8,18017,Cass,0.7197,56.5,1.0,IN,0.18149694828140056
9,18019,Clark,0.2548,84.5,9.0,IN,0.27144233858014777
10,18021,Clay,0.3338,71.9,0.0,IN,0.23096691294571153
11,18023,Clinton,0.571,51.0,1.0,IN,0.16382910375843238
12,18025,Crawford,0.3889,40.1,0.0,IN,0.1288146482492772
13,18027,Daviess,0.6882,65.1,1.0,IN,0.2091230324445872
14,18029,Dearborn,0.0799,77.9,1.0,IN,0.25024092515258595
15,18031,Decatur,0.2102,52.0,2.0,IN,0.16704143912624478
16,18033,DeKalb,0.2334,50.1,0.0,IN,0.1609380019274012
17,18035,Delaware,0.5666,81.0,5.0,IN,0.26019916479280436
18,18037,Dubois,0.208,84.3,2.0,IN,0.27079987150658524
19,18039,Elkhart,0.7701,51.3,2.0,IN,0.16479280436877608
20,18041,Fayette,0.6108,96.7,3.0,IN,0.31063283006745906
21,18043,Floyd,0.1669,104.6,3.0,IN,0.33601027947317696
22,18045,Fountain,0.2032,83.6,0.0,IN,0.2685512367491166
23,18047,Franklin,0.1471,38.1,0.0,IN,0.12238997751365242
24,18049,Fulton,0.3459,82.3,0.0,IN,0.2643752007709605
25,18051,Gibson,0.315,79.2,0.0,IN,0.254416961130742
26,18053,Grant,0.7331,82.3,3.0,IN,0.2643752007709605
27,18055,Greene,0.4443,64.9,0.0,IN,0.20848056537102475
28,18057,Hamilton,0.0255,42.1,3.0,IN,0.13523931898490202
29,18059,Hancock,0.0169,61.9,2.0,IN,0.1988435592675875
30,18061,Harrison,0.1866,80.2,1.0,IN,0.2576292964985544
31,18063,Hendricks,0.0815,58.7,2.0,IN,0.18856408609058786
32,18065,Henry,0.3793,82.7,1.0,IN,0.26566013491808543
33,18067,Howard,0.4815,102.5,4.0,IN,0.32926437520077095
34,18069,Huntington,0.1248,63.4,1.0,IN,0.20366206231930611
35,18071,Jackson,0.5389,59.8,2.0,IN,0.19209765499518147
36,18073,Jasper,0.2685,102.5,1.0,IN,0.32926437520077095
37,18075,Jay,0.6748,72.8,0.0,IN,0.23385801477674267
38,18077,Jefferson,0.4414,89.6,2.0,IN,0.287825248955991
39,18079,Jennings,0.3847,75.8,2.0,IN,0.24349502088017988
40,18081,Johnson,0.1424,68.3,2.0,IN,0.21940250562158686
41,18083,Knox,0.5927,99.4,3.0,IN,0.31930613556055254
42,18085,Kosciusko,0.4608,54.7,2.0,IN,0.17571474461933825
43,18087,LaGrange,0.3707,16.9,2.0,IN,0.05428846771602955
44,18089,Lake,0.7252,66.8,8.0,IN,0.2145840025698683
45,18091,LaPorte,0.7217,78.7,2.0,IN,0.2528107934468358
46,18093,Lawrence,0.2752,104.9,2.0,IN,0.33697398008352075
47,18095,Madison,0.6713,87.1,7.0,IN,0.27979441053646
48,18097,Marion,0.7971,56.7,20.0,IN,0.18213941535496306
49,18099,Marshall,0.5796,68.7,1.0,IN,0.22068743976871186
50,18101,Martin,0.2398,80.0,1.0,IN,0.25698682942499196
51,18103,Miami,0.5879,52.3,0.0,IN,0.16800513973658848
52,18105,Monroe,0.4519,55.4,4.0,IN,0.17796337937680692
53,18107,Montgomery,0.3685,77.3,3.0,IN,0.24831352393189848
54,18109,Morgan,0.2156,90.4,3.0,IN,0.2903951172502409
55,18111,Newton,0.3366,17.8,1.0,IN,0.057179569547060716
56,18113,Noble,0.4742,60.7,2.0,IN,0.19498875682621267
57,18115,Ohio,0.0252,0.1,0.0,IN,0.00032123353678124
58,18117,Orange,0.6455,75.5,1.0,IN,0.24253132026983618
59,18119,Owen,0.3455,62.7,1.0,IN,0.20141342756183747
60,18121,Parke,0.5809,35.4,0.0,IN,0.11371667202055893
61,18123,Perry,0.3102,78.5,0.0,IN,0.25216832637327335
62,18125,Pike,0.1745,70.7,0.0,IN,0.22711211050433666
63,18127,Porter,0.1478,77.0,4.0,IN,0.24734982332155475
64,18129,Posey,0.0105,52.6,0.0,IN,0.16896884034693221
65,18131,Pulaski,0.2309,46.6,0.0,IN,0.14969482814005783
66,18133,Putnam,0.3484,48.6,2.0,IN,0.15611949887568263
67,18135,Randolph,0.4296,60.6,1.0,IN,0.1946675232894314
68,18137,Ripley,0.3774,90.7,0.0,IN,0.29135881786058465
69,18139,Rush,0.2567,56.0,1.0,IN,0.17989078059749436
70,18141,St. Joseph,0.6223,60.2,3.0,IN,0.19338258914230647
71,18143,Scott,0.4201,114.3,2.0,IN,0.36716993254095726
72,18145,Shelby,0.2182,60.0,2.0,IN,0.19274012206874397
73,18147,Spencer,0.0879,26.6,1.0,IN,0.08544812078380983
74,18149,Starke,0.3417,91.1,1.0,IN,0.2926437520077096
75,18151,Steuben,0.271,65.4,1.0,IN,0.21008673305493095
76,18153,Sullivan,0.6401,65.7,0.0,IN,0.21105043366527465
77,18155,Switzerland,0.6271,36.1,0.0,IN,0.11596530677802763
78,18157,Tippecanoe,0.493,51.9,1.0,IN,0.16672020558946352
79,18159,Tipton,0.0726,40.2,0.0,IN,0.12913588178605848
80,18161,Union,0.1713,43.5,0.0,IN,0.1397365884998394
81,18163,Vanderburgh,0.5242,111.0,5.0,IN,0.3565692258271763
82,18165,Vermillion,0.4503,69.1,1.0,IN,0.2219723739158368
