FIPS,COUNTY,RPL_THEMES,pres_r,n
20001,Allen,0.3978,130.8,0.0
20003,Anderson,0.2274,64.3,0.0
20005,Atchison,0.4911,84.5,0.0
20007,Barber,0.2803,0.0,0.0
20009,Barton,0.5439,97.0,0.0
20011,Bourbon,0.5828,88.9,0.0
20013,Brown,0.2717,36.6,0.0
20015,Butler,0.2624,90.5,1.0
20017,Chase,0.4067,64.3,0.0
20019,Chautauqua,0.7188,64.3,0.0
20021,Cherokee,0.3828,31.2,0.0
20023,Cheyenne,0.1003,105.8,0.0
20025,Clark,0.3124,0.0,0.0
20027,Clay,0.0494,76.7,0.0
20029,Cloud,0.2739,33.6,0.0
20031,Coffey,0.2035,85.8,0.0
20033,Comanche,0.0793,64.3,0.0
20035,Cowley,0.7318,86.2,0.0
20037,Crawford,0.6987,79.3,1.0
20039,Decatur,0.1573,63.0,0.0
20041,Dickinson,0.3322,0.0,1.0
20043,Doniphan,0.2306,64.3,0.0
20045,Douglas,0.2232,52.3,1.0
20047,Edwards,0.372,71.1,0.0
20049,Elk,0.3895,0.0,0.0
20051,Ellis,0.1564,91.8,0.0
20053,Ellsworth,0.3952,73.0,0.0
20055,Finney,0.8236,61.6,1.0
20057,Ford,0.857,68.5,0.0
20059,Franklin,0.2137,87.7,0.0
20061,Geary,0.6576,57.8,0.0
20063,Gove,0.0975,0.2,0.0
20065,Graham,0.1255,0.1,0.0
20067,Grant,0.3815,53.0,1.0
20069,Gray,0.2736,15.4,0.0
20071,Greeley,0.5752,102.3,0.0
20073,Greenwood,0.2127,64.3,0.0
20075,Hamilton,0.2586,38.8,0.0
20077,Harper,0.3223,65.8,0.0
20079,Harvey,0.335,76.8,1.0
20081,Haskell,0.4115,0.1,0.0
20083,Hodgeman,0.1118,64.3,0.0
20085,Jackson,0.2694,39.0,0.0
20087,Jefferson,0.0548,2.1,0.0
20089,Jewell,0.0876,64.3,0.0
20091,Johnson,0.0615,54.1,5.0
20093,Kearny,0.4656,34.8,0.0
20095,Kingman,0.0513,64.3,0.0
20097,Kiowa,0.258,68.4,0.0
20099,Labette,0.6392,92.4,0.0
20101,Lane,0.0303,73.0,0.0
20103,Leavenworth,0.2404,34.9,1.0
20105,Lincoln,0.1322,64.3,0.0
20107,Linn,0.4478,0.1,0.0
20109,Logan,0.1296,68.1,0.0
20111,Lyon,0.7322,61.1,0.0
20113,McPherson,0.1067,73.0,1.0
20115,Marion,0.1771,26.6,0.0
20117,Marshall,0.1264,24.6,0.0
20119,Meade,0.3717,0.1,0.0
20121,Miami,0.0258,34.5,1.0
20123,Mitchell,0.2844,87.2,0.0
20125,Montgomery,0.8029,103.1,1.0
20127,Morris,0.2436,0.1,0.0
20129,Morton,0.408,105.3,0.0
20131,Nemaha,0.0962,23.4,0.0
20133,Neosho,0.658,87.5,0.0
20135,Ness,0.15,107.7,0.0
20137,Norton,0.2975,81.8,1.0
20139,Osage,0.2341,0.0,0.0
20141,Osborne,0.0723,147.1,0.0
20143,Ottawa,0.0271,0.0,0.0
20145,Pawnee,0.2866,35.3,0.0
20147,Phillips,0.242,64.3,0.0
20149,Pottawatomie,0.1487,0.0,0.0
20151,Pratt,0.3873,137.6,0.0
20153,Rawlins,0.136,64.3,0.0
20155,Reno,0.5866,84.4,1.0
20157,Republic,0.0605,0.1,0.0
20159,Rice,0.4252,32.2,0.0
20161,Riley,0.4373,59.1,0.0
20163,Rooks,0.142,0.1,0.0
20165,Rush,0.0783,50.7,0.0
20167,Russell,0.2392,0.0,0.0
20169,Saline,0.4162,118.3,1.0
20171,Scott,0.3061,87.9,1.0
20173,Sedgwick,0.5357,84.8,10.0
20175,Seward,0.9111,91.8,0.0
20177,Shawnee,0.5099,78.8,2.0
20179,Sheridan,0.0685,64.3,0.0
20181,Sherman,0.4984,65.8,0.0
20183,Smith,0.0503,109.1,0.0
20185,Stafford,0.2777,64.3,0.0
20187,Stanton,0.4965,90.6,1.0
20189,Stevens,0.6739,20.2,0.0
20191,Sumner,0.2223,53.5,0.0
20193,Thomas,0.0704,84.3,0.0
20195,Trego,0.0389,122.5,0.0
20197,Wabaunsee,0.0532,64.3,0.0
20199,Wallace,0.143,37.6,0.0
20201,Washington,0.1481,83.2,0.0
20203,Wichita,0.4678,64.3,0.0
20205,Wilson,0.6366,80.1,0.0
20207,Woodson,0.4398,64.3,0.0
20209,Wyandotte,0.9242,57.2,3.0
