FIPS,COUNTY,RPL_THEMES,pres_r,n
21001,Adair,0.7121,92.1,1
21003,Allen,0.6796,72.2,0
21005,Anderson,0.2637,67.8,0
21007,Ballard,0.4459,85.6,0
21009,Barren,0.7761,104.3,0
21011,Bath,0.729,39,1
21013,Bell,0.8927,197.9,1
21015,Boone,0.1277,73.2,1
21017,Bourbon,0.5561,78.8,0
21019,Boyd,0.6908,71.9,11
21021,Boyle,0.4315,92.5,3
21023,Bracken,0.3866,15,1
21025,Breathitt,0.822,151.6,0
21027,Breckinridge,0.7376,42.4,0
21029,Bullitt,0.1385,59,1
21031,Butler,0.792,70.4,0
21033,Caldwell,0.4981,116.8,0
21035,Calloway,0.4997,77.8,2
21037,Campbell,0.2188,70.3,1
21039,Carlisle,0.3395,90.2,0
21041,Carroll,0.8904,122.4,1
21043,Carter,0.8204,58,3
21045,Casey,0.7656,72.1,0
21047,Christian,0.9127,47.1,4
21049,Clark,0.6061,83.1,1
21051,Clay,0.9099,167.3,0
21053,Clinton,0.778,115.4,1
21055,Crittenden,0.4844,88.9,0
21057,Cumberland,0.5315,127.2,0
21059,Daviess,0.6169,82.5,3
21061,Edmonson,0.6357,62.6,0
21063,Elliott,0.7239,31,1
21065,Estill,0.7997,124.4,0
21067,Fayette,0.4876,47.6,11
21069,Fleming,0.771,55.1,2
21071,Floyd,0.8503,205.3,5
21073,Franklin,0.5468,74.1,5
21075,Fulton,0.8704,156,0
21077,Gallatin,0.6124,30.7,0
21079,Garrard,0.4299,34.6,0
21081,Grant,0.5602,87,0
21083,Graves,0.7752,86.1,1
21085,Grayson,0.6096,115.8,1
21087,Green,0.5226,61.4,0
21089,Greenup,0.3217,61.6,3
21091,Hancock,0.3822,24.4,1
21093,Hardin,0.5672,77.8,5
21095,Harlan,0.8803,110.4,0
21097,Harrison,0.5057,74,0
21099,Hart,0.7659,55.3,0
21101,Henderson,0.7089,112.8,1
21103,Henry,0.5274,50.5,0
21105,Hickman,0.5739,58.7,0
21107,Hopkins,0.5541,121.2,1
21109,Jackson,0.6662,45.5,1
21111,Jefferson,0.5682,69.8,15
21113,Jessamine,0.5201,68.6,2
21115,Johnson,0.8102,148.3,3
21117,Kenton,0.3379,59.3,9
21119,Knott,0.8548,66.4,1
21121,Knox,0.8325,78.6,1
21123,Larue,0.5318,64.7,0
21125,Laurel,0.7522,83,2
21127,Lawrence,0.7583,86.4,9
21129,Lee,0.8182,125.6,0
21131,Leslie,0.7745,161.8,0
21133,Letcher,0.8755,116.8,0
21135,Lewis,0.6242,17.8,1
21137,Lincoln,0.7083,53.1,0
21139,Livingston,0.264,0,0
21141,Logan,0.5287,97.3,0
21143,Lyon,0.3252,101.6,0
21145,McCracken,0.4153,149.9,6
21147,McCreary,0.878,97.3,0
21149,McLean,0.4217,68.6,0
21151,Madison,0.4968,67.7,3
21153,Magoffin,0.8057,131.2,0
21155,Marion,0.9057,81.5,0
21157,Marshall,0.2723,99.4,0
21159,Martin,0.8494,123.2,1
21161,Mason,0.6682,86.8,2
21163,Meade,0.3178,48.6,0
21165,Menifee,0.5847,34.3,0
21167,Mercer,0.4134,73.4,0
21169,Metcalfe,0.6812,60.8,0
21171,Monroe,0.6975,92.2,0
21173,Montgomery,0.7987,118.2,2
21175,Morgan,0.8293,79.2,1
21177,Muhlenberg,0.6134,104.9,0
21179,Nelson,0.2895,79,3
21181,Nicholas,0.8197,26.1,0
21183,Ohio,0.5799,92.1,0
21185,Oldham,0.0395,46.6,0
21187,Owen,0.5264,39.3,1
21189,Owsley,0.8414,241.8,3
21191,Pendleton,0.415,45.2,1
21193,Perry,0.9051,203.6,2
21195,Pike,0.7908,180.7,8
21197,Powell,0.7732,133,0
21199,Pulaski,0.742,79.8,3
21201,Robertson,0.3538,79.5,0
21203,Rockcastle,0.7882,60.2,0
21205,Rowan,0.7557,81.7,5
21207,Russell,0.8634,101.9,0
21209,Scott,0.3331,63.1,3
21211,Shelby,0.4261,58.4,1
21213,Simpson,0.2879,81.9,1
21215,Spencer,0.0369,35.4,0
21217,Taylor,0.721,85.2,1
21219,Todd,0.8092,0,0
21221,Trigg,0.365,65.9,0
21223,Trimble,0.7143,50.2,0
21225,Union,0.5366,101.5,1
21227,Warren,0.7096,73.9,4
21229,Washington,0.5127,38.3,3
21231,Wayne,0.7478,110.5,2
21233,Webster,0.7854,93.8,1
21235,Whitley,0.8379,199.6,1
21237,Wolfe,0.8621,120.9,0
21239,Woodford,0.2041,56.5,0
