,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,21001,Adair,0.7121,92.1,1.0,KY,0.295856087375522
1,21003,Allen,0.6796,72.2,0.0,KY,0.23193061355605527
2,21005,Anderson,0.2637,67.8,0.0,KY,0.2177963379376807
3,21007,Ballard,0.4459,85.6,0.0,KY,0.2749759074847414
4,21009,Barren,0.7761,104.3,0.0,KY,0.33504657886283323
5,21011,Bath,0.729,39.0,1.0,KY,0.12528107934468358
6,21013,Bell,0.8927,197.9,1.0,KY,0.6357211692900738
7,21015,Boone,0.1277,73.2,1.0,KY,0.23514294892386764
8,21017,Bourbon,0.5561,78.8,0.0,KY,0.2531320269836171
9,21019,Boyd,0.6908,71.9,11.0,KY,0.23096691294571153
10,21021,Boyle,0.4315,92.5,3.0,KY,0.29714102152264693
11,21023,Bracken,0.3866,15.0,1.0,KY,0.04818503051718599
12,21025,Breathitt,0.822,151.6,0.0,KY,0.48699004176035976
13,21027,Breckinridge,0.7376,42.4,0.0,KY,0.13620301959524572
14,21029,Bullitt,0.1385,59.0,1.0,KY,0.18952778670093157
15,21031,Butler,0.792,70.4,0.0,KY,0.22614840989399293
16,21033,Caldwell,0.4981,116.8,0.0,KY,0.37520077096048826
17,21035,Calloway,0.4997,77.8,2.0,KY,0.24991969161580468
18,21037,Campbell,0.2188,70.3,1.0,KY,0.22582717635721167
19,21039,Carlisle,0.3395,90.2,0.0,KY,0.28975265017667845
20,21041,Carroll,0.8904,122.4,1.0,KY,0.39318984902023774
21,21043,Carter,0.8204,58.0,3.0,KY,0.18631545133311916
22,21045,Casey,0.7656,72.1,0.0,KY,0.23160938001927397
23,21047,Christian,0.9127,47.1,4.0,KY,0.15130099582396403
24,21049,Clark,0.6061,83.1,1.0,KY,0.26694506906521037
25,21051,Clay,0.9099,167.3,0.0,KY,0.5374237070350145
26,21053,Clinton,0.778,115.4,1.0,KY,0.3707035014455509
27,21055,Crittenden,0.4844,88.9,0.0,KY,0.2855766141985223
28,21057,Cumberland,0.5315,127.2,0.0,KY,0.4086090587857372
29,21059,Daviess,0.6169,82.5,3.0,KY,0.26501766784452296
30,21061,Edmonson,0.6357,62.6,0.0,KY,0.2010921940250562
31,21063,Elliott,0.7239,31.0,1.0,KY,0.09958239640218439
32,21065,Estill,0.7997,124.4,0.0,KY,0.39961451975586254
33,21067,Fayette,0.4876,47.6,11.0,KY,0.15290716350787023
34,21069,Fleming,0.771,55.1,2.0,KY,0.17699967876646322
35,21071,Floyd,0.8503,205.3,5.0,KY,0.6594924510118857
36,21073,Franklin,0.5468,74.1,5.0,KY,0.23803405075489878
37,21075,Fulton,0.8704,156.0,0.0,KY,0.5011243173787343
38,21077,Gallatin,0.6124,30.7,0.0,KY,0.09861869579184067
39,21079,Garrard,0.4299,34.6,0.0,KY,0.11114680372630903
40,21081,Grant,0.5602,87.0,0.0,KY,0.2794731769996788
41,21083,Graves,0.7752,86.1,1.0,KY,0.2765820751686476
42,21085,Grayson,0.6096,115.8,1.0,KY,0.37198843559267586
43,21087,Green,0.5226,61.4,0.0,KY,0.19723739158368134
44,21089,Greenup,0.3217,61.6,3.0,KY,0.1978798586572438
45,21091,Hancock,0.3822,24.4,1.0,KY,0.07838098297462254
46,21093,Hardin,0.5672,77.8,5.0,KY,0.24991969161580468
47,21095,Harlan,0.8803,110.4,0.0,KY,0.3546418246064889
48,21097,Harrison,0.5057,74.0,0.0,KY,0.23771281721811757
49,21099,Hart,0.7659,55.3,0.0,KY,0.1776421458400257
50,21101,Henderson,0.7089,112.8,1.0,KY,0.36235142948923865
