FIPS,COUNTY,RPL_THEMES,pres_r,n
22001,Acadia,0.9182,68.4,0.0
22003,Allen,0.9261,86.0,0.0
22005,Ascension,0.3968,75.4,0.0
22007,Assumption,0.779,28.2,0.0
22009,Avoyelles,0.9634,101.7,0.0
22011,Beauregard,0.6519,62.8,0.0
22013,Bienville,0.9401,55.9,0.0
22015,Bossier,0.5876,79.4,0.0
22017,Caddo,0.8385,90.0,3.0
22019,Calcasieu,0.7392,90.0,4.0
22021,Caldwell,0.9331,38.0,0.0
22023,Cameron,0.2643,79.4,0.0
22025,Catahoula,0.7806,87.3,0.0
22027,Claiborne,0.9478,93.5,0.0
22029,Concordia,0.9134,84.9,0.0
22031,De Soto,0.8917,64.1,0.0
22033,East Baton Rouge,0.6653,72.6,6.0
22035,East Carroll,0.9357,81.6,0.0
22037,East Feliciana,0.8185,44.1,0.0
22039,Evangeline,0.9975,144.0,0.0
22041,Franklin,0.9519,92.0,1.0
22043,Grant,0.6274,41.8,0.0
22045,Iberia,0.9605,81.2,1.0
22047,Iberville,0.886,59.8,0.0
22049,Jackson,0.9382,55.9,0.0
22051,Jefferson,0.6121,82.4,8.0
22053,Jefferson Davis,0.8105,84.5,1.0
22055,Lafayette,0.6217,80.0,2.0
22057,Lafourche,0.7669,78.5,1.0
22059,LaSalle,0.7634,94.1,0.0
22061,Lincoln,0.8478,76.3,1.0
22063,Livingston,0.4309,82.3,0.0
22065,Madison,0.9697,79.4,0.0
22067,Morehouse,0.8847,91.2,0.0
22069,Natchitoches,0.8573,69.4,1.0
22071,Orleans,0.7449,50.9,6.0
22073,Ouachita,0.8522,92.3,3.0
22075,Plaquemines,0.7061,37.4,0.0
22077,Pointe Coupee,0.8475,72.0,0.0
22079,Rapides,0.9086,117.1,4.0
22081,Red River,0.8137,93.7,0.0
22083,Richland,0.8554,125.6,1.0
22085,Sabine,0.8315,60.0,0.0
22087,St. Bernard,0.7713,85.1,0.0
22089,St. Charles,0.3529,58.4,0.0
22091,St. Helena,0.9,70.7,0.0
22093,St. James,0.6299,74.9,0.0
22095,St. John the Baptist,0.7468,87.7,2.0
22097,St. Landry,0.922,121.0,0.0
22099,St. Martin,0.7831,65.7,1.0
22101,St. Mary,0.9162,89.3,1.0
22103,St. Tammany,0.3105,81.8,4.0
22105,Tangipahoa,0.8885,99.7,2.0
22107,Tensas,0.8366,72.2,0.0
22109,Terrebonne,0.8952,81.5,2.0
22111,Union,0.808,69.4,0.0
22113,Vermilion,0.8201,55.9,0.0
22115,Vernon,0.7433,66.6,0.0
22117,Washington,0.9962,112.3,1.0
22119,Webster,0.879,99.7,1.0
22121,West Baton Rouge,0.7611,76.5,0.0
22123,West Carroll,0.6685,36.3,1.0
22125,West Feliciana,0.6901,40.5,0.0
22127,Winn,0.7755,87.6,0.0
