,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,24001,Allegany,0.621,89.2,5.0,MD,0.28654031480886605
1,24003,Anne Arundel,0.1783,53.7,16.0,MD,0.17250240925152585
2,24005,Baltimore,0.3818,53.2,27.0,MD,0.17089624156761965
3,24009,Calvert,0.0471,68.5,5.0,MD,0.22004497269514936
4,24011,Caroline,0.5535,34.6,0.0,MD,0.11114680372630903
5,24013,Carroll,0.0404,55.5,4.0,MD,0.17828461291358816
6,24015,Cecil,0.2933,56.4,5.0,MD,0.18117571474461933
7,24017,Charles,0.1723,61.8,4.0,MD,0.19852232573080628
8,24019,Dorchester,0.7506,61.3,2.0,MD,0.19691615804690007
9,24021,Frederick,0.1589,56.3,6.0,MD,0.1808544812078381
10,24023,Garrett,0.1812,63.4,1.0,MD,0.20366206231930611
11,24025,Harford,0.0933,56.3,13.0,MD,0.1808544812078381
12,24027,Howard,0.1306,28.4,7.0,MD,0.09123032444587215
13,24029,Kent,0.4277,84.6,1.0,MD,0.271763572116929
14,24031,Montgomery,0.3255,26.5,9.0,MD,0.08512688724702859
15,24033,Prince George's,0.6261,30.0,9.0,MD,0.09637006103437198
16,24035,Queen Anne's,0.022,49.8,1.0,MD,0.15997430131705748
17,24037,St. Mary's,0.2086,50.5,2.0,MD,0.16222293607452618
18,24039,Somerset,0.8978,42.6,1.0,MD,0.13684548666880822
19,24041,Talbot,0.1331,83.2,4.0,MD,0.26726630260199163
20,24043,Washington,0.614,90.3,3.0,MD,0.29007388371345966
21,24045,Wicomico,0.7739,59.2,5.0,MD,0.19017025377449406
22,24047,Worcester,0.2803,59.7,2.0,MD,0.19177642145840026
23,24510,Baltimore City,0.8312,41.9,63.0,MD,0.13459685191133952
