FIPS,COUNTY,RPL_THEMES,pres_r,n
23001,Androscoggin,0.5567,50.7,9.0
23003,Aroostook,0.5946,52.1,6.0
23005,Cumberland,0.1363,39.5,14.0
23007,Franklin,0.215,42.2,1.0
23009,Hancock,0.193,45.5,2.0
23011,Kennebec,0.3787,70.1,13.0
23013,Knox,0.1475,49.1,4.0
23015,Lincoln,0.1143,34.0,1.0
23017,Oxford,0.3726,53.9,2.0
23019,Penobscot,0.4532,51.4,13.0
23021,Piscataquis,0.4898,51.0,1.0
23023,Sagadahoc,0.0522,45.3,0.0
23025,Somerset,0.622,48.8,3.0
23027,Waldo,0.2197,33.9,4.0
23029,Washington,0.6439,48.3,5.0
23031,York,0.0936,46.9,6.0
