FIPS,COUNTY,RPL_THEMES,pres_r,n
26001,Alcona,0.2557,18.2,0.0
26003,Alger,0.4481,35.0,0.0
26005,Allegan,0.1758,39.0,0.0
26007,Alpena,0.3408,101.6,0.0
26009,Antrim,0.1156,40.0,0.0
26011,Arenac,0.5054,78.4,0.0
26013,Baraga,0.6599,59.9,0.0
26015,Barry,0.0869,49.0,0.0
26017,Bay,0.4404,74.2,1.0
26019,Benzie,0.1051,52.9,0.0
26021,Berrien,0.6475,69.5,4.0
26023,Branch,0.6315,56.0,0.0
26025,Calhoun,0.7242,81.2,2.0
26027,Cass,0.328,27.6,0.0
26029,Charlevoix,0.0968,64.4,1.0
26031,Cheboygan,0.286,91.9,0.0
26033,Chippewa,0.7245,46.7,2.0
26035,Clare,0.772,94.5,0.0
26037,Clinton,0.0401,35.2,0.0
26039,Crawford,0.3697,94.4,0.0
26041,Delta,0.3545,80.2,2.0
26043,Dickinson,0.2296,65.9,1.0
26045,Eaton,0.3131,69.7,1.0
26047,Emmet,0.1357,96.1,1.0
26049,Genesee,0.6624,85.2,3.0
26051,Gladwin,0.5398,77.9,1.0
26053,Gogebic,0.4038,74.1,1.0
26055,Grand Traverse,0.1803,83.8,3.0
26057,Gratiot,0.6035,59.5,0.0
26059,Hillsdale,0.5019,48.8,0.0
26061,Houghton,0.4962,34.2,1.0
26063,Huron,0.2745,55.6,0.0
26065,Ingham,0.5742,54.8,3.0
26067,Ionia,0.478,51.4,0.0
26069,Iosco,0.4494,118.1,0.0
26071,Iron,0.2825,74.5,0.0
26073,Isabella,0.6016,48.0,2.0
26075,Jackson,0.5506,61.9,1.0
26077,Kalamazoo,0.407,54.5,2.0
26079,Kalkaska,0.5083,70.2,0.0
26081,Kent,0.4761,55.3,8.0
26083,Keweenaw,0.0787,62.7,0.0
26085,Lake,0.7818,25.6,1.0
26087,Lapeer,0.2382,57.3,0.0
26089,Leelanau,0.0245,14.5,0.0
26091,Lenawee,0.4076,67.2,0.0
26093,Livingston,0.0067,44.9,4.0
26095,Luce,0.5338,93.7,1.0
26097,Mackinac,0.6452,49.0,1.0
26099,Macomb,0.3296,73.1,6.0
26101,Manistee,0.3997,75.4,1.0
26103,Marquette,0.3057,66.0,4.0
26105,Mason,0.3376,98.9,0.0
26107,Mecosta,0.5975,69.9,0.0
26109,Menominee,0.2764,30.1,0.0
26111,Midland,0.1618,62.8,1.0
26113,Missaukee,0.4755,24.2,0.0
26115,Monroe,0.1494,66.6,2.0
26117,Montcalm,0.6127,89.8,0.0
26119,Montmorency,0.3729,49.3,0.0
26121,Muskegon,0.7035,95.7,4.0
26123,Newaygo,0.6318,88.5,1.0
26125,Oakland,0.114,54.7,17.0
26127,Oceana,0.858,48.7,0.0
26129,Ogemaw,0.6258,114.5,0.0
26131,Ontonagon,0.2732,24.0,0.0
26133,Osceola,0.7401,51.9,0.0
26135,Oscoda,0.6694,71.8,0.0
26137,Otsego,0.3694,125.8,3.0
26139,Ottawa,0.2172,44.4,2.0
26141,Presque Isle,0.2761,41.9,0.0
26143,Roscommon,0.4627,117.1,0.0
26145,Saginaw,0.7048,67.1,3.0
26147,St. Clair,0.279,79.5,1.0
26149,St. Joseph,0.6516,76.1,0.0
26151,Sanilac,0.4834,27.7,0.0
26153,Schoolcraft,0.5452,86.0,0.0
26155,Shiawassee,0.1325,70.8,1.0
26157,Tuscola,0.3959,57.9,1.0
26159,Van Buren,0.6589,78.2,0.0
26161,Washtenaw,0.2236,30.7,6.0
26163,Wayne,0.8723,64.9,29.0
26165,Wexford,0.5035,99.0,0.0
