FIPS,COUNTY,RPL_THEMES,pres_r,n
27001,Aitkin,0.3083,56.5,0.0
27003,Anoka,0.1404,38.5,4.0
27005,Becker,0.299,35.7,1.0
27007,Beltrami,0.7771,41.4,3.0
27009,Benton,0.4318,30.1,0.0
27011,Big Stone,0.2006,70.9,0.0
27013,Blue Earth,0.2838,51.2,0.0
27015,Brown,0.1274,41.0,0.0
27017,Carlton,0.2666,51.0,0.0
27019,Carver,0.0124,32.2,1.0
27021,Cass,0.35,22.0,1.0
27023,Chippewa,0.3522,52.1,0.0
27025,Chisago,0.0592,25.7,1.0
27027,Clay,0.2217,34.4,0.0
27029,Clearwater,0.7917,47.6,0.0
27031,Cook,0.2029,33.6,0.0
27033,Cottonwood,0.4726,66.9,0.0
27035,Crow Wing,0.1223,46.9,3.0
27037,Dakota,0.1207,36.9,4.0
27039,Dodge,0.0573,10.0,0.0
27041,Douglas,0.0446,60.2,1.0
27043,Faribault,0.157,39.1,0.0
27045,Fillmore,0.2169,24.0,0.0
27047,Freeborn,0.4328,29.0,1.0
27049,Goodhue,0.1707,33.7,0.0
27051,Grant,0.0946,28.7,0.0
27053,Hennepin,0.3092,28.6,19.0
27055,Houston,0.0185,20.0,1.0
27057,Hubbard,0.2051,40.6,0.0
27059,Isanti,0.1022,45.8,0.0
27061,Itasca,0.3293,51.0,1.0
27063,Jackson,0.0306,24.6,0.0
27065,Kanabec,0.2841,61.1,1.0
27067,Kandiyohi,0.4064,50.2,0.0
27069,Kittson,0.0997,32.2,0.0
27071,Koochiching,0.4366,49.2,0.0
27073,Lac qui Parle,0.1006,52.3,0.0
27075,Lake,0.1102,24.5,0.0
27077,Lake of the Woods,0.1576,18.1,0.0
27079,Le Sueur,0.1146,10.1,0.0
27081,Lincoln,0.0666,35.5,0.0
27083,Lyon,0.4532,39.0,1.0
27085,McLeod,0.1261,55.1,0.0
27087,Mahnomen,0.8717,27.6,1.0
27089,Marshall,0.1411,17.9,0.0
27091,Martin,0.1933,61.9,0.0
27093,Meeker,0.1869,16.2,0.0
27095,Mille Lacs,0.5917,50.1,0.0
27097,Morrison,0.2682,52.7,0.0
27099,Mower,0.6283,26.9,0.0
27101,Murray,0.1064,29.4,0.0
27103,Nicollet,0.2513,16.9,0.0
27105,Nobles,0.815,33.9,0.0
27107,Norman,0.3248,12.2,0.0
27109,Olmsted,0.2599,25.9,3.0
27111,Otter Tail,0.2099,40.6,0.0
27113,Pennington,0.3016,55.8,0.0
27115,Pine,0.4631,48.5,0.0
27117,Pipestone,0.4646,69.0,0.0
27119,Polk,0.3669,49.5,1.0
27121,Pope,0.0315,53.4,0.0
27123,Ramsey,0.6334,31.2,6.0
27125,Red Lake,0.1525,25.2,0.0
27127,Redwood,0.2293,35.7,0.0
27129,Renville,0.1968,22.8,1.0
27131,Rice,0.393,37.8,1.0
27133,Rock,0.1532,50.8,0.0
27135,Roseau,0.2478,55.0,0.0
27137,St. Louis,0.3118,47.8,3.0
27139,Scott,0.1108,28.6,0.0
27141,Sherburne,0.0885,31.8,2.0
27143,Sibley,0.1315,18.8,0.0
27145,Stearns,0.3885,44.2,4.0
27147,Steele,0.3013,35.4,1.0
27149,Stevens,0.2258,43.3,0.0
27151,Swift,0.3213,39.7,0.0
27153,Todd,0.4812,21.1,0.0
27155,Traverse,0.2602,42.6,0.0
27157,Wabasha,0.0589,5.9,0.0
27159,Wadena,0.6554,111.2,0.0
27161,Waseca,0.2503,34.0,0.0
27163,Washington,0.0682,42.6,2.0
27165,Watonwan,0.5191,41.5,0.0
27167,Wilkin,0.1924,42.6,0.0
27169,Winona,0.2115,34.4,1.0
27171,Wright,0.0462,41.0,0.0
27173,Yellow Medicine,0.3344,30.6,0.0
