,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,27001,Aitkin,0.3083,56.5,0.0,MN,0.18149694828140056
1,27003,Anoka,0.1404,38.5,4.0,MN,0.12367491166077738
2,27005,Becker,0.299,35.7,1.0,MN,0.11468037263090267
3,27007,Beltrami,0.7771,41.4,3.0,MN,0.13299068422743335
4,27009,Benton,0.4318,30.1,0.0,MN,0.09669129457115323
5,27011,Big Stone,0.2006,70.9,0.0,MN,0.22775457757789913
6,27013,Blue Earth,0.2838,51.2,0.0,MN,0.16447157083199487
7,27015,Brown,0.1274,41.0,0.0,MN,0.13170575008030838
8,27017,Carlton,0.2666,51.0,0.0,MN,0.16382910375843238
9,27019,Carver,0.0124,32.2,1.0,MN,0.10343719884355927
10,27021,Cass,0.35,22.0,1.0,MN,0.0706713780918728
11,27023,Chippewa,0.3522,52.1,0.0,MN,0.167362672663026
12,27025,Chisago,0.0592,25.7,1.0,MN,0.08255701895277867
13,27027,Clay,0.2217,34.4,0.0,MN,0.11050433665274653
14,27029,Clearwater,0.7917,47.6,0.0,MN,0.15290716350787023
15,27031,Cook,0.2029,33.6,0.0,MN,0.10793446835849663
16,27033,Cottonwood,0.4726,66.9,0.0,MN,0.21490523610664955
17,27035,Crow Wing,0.1223,46.9,3.0,MN,0.15065852875040153
18,27037,Dakota,0.1207,36.9,4.0,MN,0.11853517507227754
19,27039,Dodge,0.0573,10.0,0.0,MN,0.032123353678123995
20,27041,Douglas,0.0446,60.2,1.0,MN,0.19338258914230647
21,27043,Faribault,0.157,39.1,0.0,MN,0.1256023128814648
22,27045,Fillmore,0.2169,24.0,0.0,MN,0.07709604882749758
23,27047,Freeborn,0.4328,29.0,1.0,MN,0.09315772566655958
24,27049,Goodhue,0.1707,33.7,0.0,MN,0.10825570189527788
25,27051,Grant,0.0946,28.7,0.0,MN,0.09219402505621586
26,27053,Hennepin,0.3092,28.6,19.0,MN,0.09187279151943463
27,27055,Houston,0.0185,20.0,1.0,MN,0.06424670735624799
28,27057,Hubbard,0.2051,40.6,0.0,MN,0.13042081593318341
29,27059,Isanti,0.1022,45.8,0.0,MN,0.1471249598458079
30,27061,Itasca,0.3293,51.0,1.0,MN,0.16382910375843238
31,27063,Jackson,0.0306,24.6,0.0,MN,0.07902345004818503
32,27065,Kanabec,0.2841,61.1,1.0,MN,0.1962736909733376
33,27067,Kandiyohi,0.4064,50.2,0.0,MN,0.16125923546418247
34,27069,Kittson,0.0997,32.2,0.0,MN,0.10343719884355927
35,27071,Koochiching,0.4366,49.2,0.0,MN,0.15804690009637007
36,27073,Lac qui Parle,0.1006,52.3,0.0,MN,0.16800513973658848
37,27075,Lake,0.1102,24.5,0.0,MN,0.07870221651140379
38,27077,Lake of the Woods,0.1576,18.1,0.0,MN,0.058143270157404434
39,27079,Le Sueur,0.1146,10.1,0.0,MN,0.032444587214905236
40,27081,Lincoln,0.0666,35.5,0.0,MN,0.11403790555734018
41,27083,Lyon,0.4532,39.0,1.0,MN,0.12528107934468358
42,27085,McLeod,0.1261,55.1,0.0,MN,0.17699967876646322
43,27087,Mahnomen,0.8717,27.6,1.0,MN,0.08866045615162223
44,27089,Marshall,0.1411,17.9,0.0,MN,0.05750080308384194
45,27091,Martin,0.1933,61.9,0.0,MN,0.1988435592675875
46,27093,Meeker,0.1869,16.2,0.0,MN,0.05203983295856087
47,27095,Mille Lacs,0.5917,50.1,0.0,MN,0.1609380019274012
48,27097,Morrison,0.2682,52.7,0.0,MN,0.16929007388371345
49,27099,Mower,0.6283,26.9,0.0,MN,0.08641182139415354
50,27101,Murray,0.1064,29.4,0.0,MN,0.09444265981368453
51,27103,Nicollet,0.2513,16.9,0.0,MN,0.05428846771602955
52,27105,Nobles,0.815,33.9,0.0,MN,0.10889816896884034
53,27107,Norman,0.3248,12.2,0.0,MN,0.03919049148731127
54,27109,Olmsted,0.2599,25.9,3.0,MN,0.08319948602634114
55,27111,Otter Tail,0.2099,40.6,0.0,MN,0.13042081593318341
56,27113,Pennington,0.3016,55.8,0.0,MN,0.1792483135239319
57,27115,Pine,0.4631,48.5,0.0,MN,0.15579826533890137
58,27117,Pipestone,0.4646,69.0,0.0,MN,0.22165114037905556
59,27119,Polk,0.3669,49.5,1.0,MN,0.15901060070671377
60,27121,Pope,0.0315,53.4,0.0,MN,0.17153870864118212
61,27123,Ramsey,0.6334,31.2,6.0,MN,0.10022486347574686
62,27125,Red Lake,0.1525,25.2,0.0,MN,0.08095085126887247
63,27127,Redwood,0.2293,35.7,0.0,MN,0.11468037263090267
64,27129,Renville,0.1968,22.8,1.0,MN,0.07324124638612271
65,27131,Rice,0.393,37.8,1.0,MN,0.12142627690330869
66,27133,Rock,0.1532,50.8,0.0,MN,0.16318663668486988
67,27135,Roseau,0.2478,55.0,0.0,MN,0.17667844522968199
68,27137,St. Louis,0.3118,47.8,3.0,MN,0.1535496305814327
69,27139,Scott,0.1108,28.6,0.0,MN,0.09187279151943463
70,27141,Sherburne,0.0885,31.8,2.0,MN,0.1021522646964343
71,27143,Sibley,0.1315,18.8,0.0,MN,0.06039190491487311
72,27145,Stearns,0.3885,44.2,4.0,MN,0.14198522325730806
73,27147,Steele,0.3013,35.4,1.0,MN,0.11371667202055893
74,27149,Stevens,0.2258,43.3,0.0,MN,0.1390941214262769
75,27151,Swift,0.3213,39.7,0.0,MN,0.12752971410215228
76,27153,Todd,0.4812,21.1,0.0,MN,0.06778027626084164
77,27155,Traverse,0.2602,42.6,0.0,MN,0.13684548666880822
78,27157,Wabasha,0.0589,5.9,0.0,MN,0.018952778670093158
79,27159,Wadena,0.6554,111.2,0.0,MN,0.35721169290073884
80,27161,Waseca,0.2503,34.0,0.0,MN,0.10921940250562158
81,27163,Washington,0.0682,42.6,2.0,MN,0.13684548666880822
82,27165,Watonwan,0.5191,41.5,0.0,MN,0.13331191776421458
83,27167,Wilkin,0.1924,42.6,0.0,MN,0.13684548666880822
84,27169,Winona,0.2115,34.4,1.0,MN,0.11050433665274653
85,27171,Wright,0.0462,41.0,0.0,MN,0.13170575008030838
86,27173,Yellow Medicine,0.3344,30.6,0.0,MN,0.09829746225505943
