,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,29001,Adair,0.4548,89.7,2.0,MO,0.28814648249277225
1,29003,Andrew,0.0325,0.0,0.0,MO,0.0001
2,29005,Atchison,0.0736,88.4,0.0,MO,0.2839704465146161
3,29007,Audrain,0.615,61.2,2.0,MO,0.19659492451011887
4,29009,Barry,0.7099,95.0,2.0,MO,0.30517185994217794
5,29011,Barton,0.5994,76.8,1.0,MO,0.24670735624799228
6,29013,Bates,0.3857,30.3,1.0,MO,0.0973337616447157
7,29015,Benton,0.5513,80.6,1.0,MO,0.25891423064567937
8,29017,Bollinger,0.4793,46.8,2.0,MO,0.1503372952136203
9,29019,Boone,0.2927,36.7,6.0,MO,0.11789270799871507
10,29021,Buchanan,0.7182,83.3,4.0,MO,0.26758753613877284
11,29023,Butler,0.8172,142.9,3.0,MO,0.4590427240603919
12,29025,Caldwell,0.4513,63.4,0.0,MO,0.20366206231930611
13,29027,Callaway,0.3232,33.1,1.0,MO,0.10632830067459043
14,29029,Camden,0.3363,95.0,0.0,MO,0.30517185994217794
15,29031,Cape Girardeau,0.4118,87.6,4.0,MO,0.2814005782203662
16,29033,Carroll,0.5325,69.8,0.0,MO,0.22422100867330547
17,29035,Carter,0.7455,63.4,0.0,MO,0.20366206231930611
18,29037,Cass,0.1188,84.6,4.0,MO,0.271763572116929
19,29039,Cedar,0.6411,135.6,2.0,MO,0.4355926758753614
20,29041,Chariton,0.1898,27.6,0.0,MO,0.08866045615162223
21,29043,Christian,0.1497,55.8,0.0,MO,0.1792483135239319
22,29045,Clark,0.342,57.8,1.0,MO,0.1856729842595567
23,29047,Clay,0.1363,68.9,5.0,MO,0.22132990684227435
24,29049,Clinton,0.1643,55.0,1.0,MO,0.17667844522968199
25,29051,Cole,0.2583,69.7,3.0,MO,0.22389977513652426
26,29053,Cooper,0.3892,28.9,0.0,MO,0.09283649212977835
27,29055,Crawford,0.7554,73.5,2.0,MO,0.23610664953421137
28,29057,Dade,0.6637,23.7,1.0,MO,0.07613234821715387
29,29059,Dallas,0.7019,23.8,0.0,MO,0.07645358175393512
30,29061,Daviess,0.4707,25.7,0.0,MO,0.08255701895277867
31,29063,DeKalb,0.4054,63.4,0.0,MO,0.20366206231930611
32,29065,Dent,0.6312,81.3,2.0,MO,0.2611628654031481
33,29067,Douglas,0.5232,66.0,0.0,MO,0.21201413427561835
34,29069,Dunklin,0.958,148.6,1.0,MO,0.47735303565692255
35,29071,Franklin,0.1459,74.6,1.0,MO,0.23964021843880498
36,29073,Gasconade,0.0854,70.8,2.0,MO,0.22743334404111787
37,29075,Gentry,0.4389,63.7,0.0,MO,0.20462576292964985
38,29077,Greene,0.4395,85.0,11.0,MO,0.27304850626405397
39,29079,Grundy,0.6185,92.2,1.0,MO,0.29617732091230325
40,29081,Harrison,0.7417,99.0,0.0,MO,0.31802120141342755
41,29083,Henry,0.5959,113.2,1.0,MO,0.36363636363636365
42,29085,Hickory,0.4672,0.0,0.0,MO,0.0001
43,29087,Holt,0.1959,63.4,0.0,MO,0.20366206231930611
44,29089,Howard,0.4041,0.0,0.0,MO,0.0001
45,29091,Howell,0.6717,131.7,2.0,MO,0.423064567940893
46,29093,Iron,0.7822,121.2,1.0,MO,0.3893350465788628
47,29095,Jackson,0.5354,60.3,16.0,MO,0.19370382267908767
48,29097,Jasper,0.6564,112.3,3.0,MO,0.36074526180533245
49,29099,Jefferson,0.1863,64.7,3.0,MO,0.20783809829746225
50,29101,Johnson,0.3506,43.1,0.0,MO,0.13845165435271442
