FIPS,COUNTY,RPL_THEMES,pres_r,n
37001,Alamance,0.7838,63.6,1.0
37003,Alexander,0.6341,17.0,1.0
37005,Alleghany,0.6268,69.3,0.0
37007,Anson,0.9443,65.2,0.0
37009,Ashe,0.4994,77.8,0.0
37011,Avery,0.6446,65.8,0.0
37013,Beaufort,0.7156,110.9,2.0
37015,Bertie,0.9385,0.0,0.0
37017,Bladen,0.9446,96.9,1.0
37019,Brunswick,0.3583,81.2,4.0
37021,Buncombe,0.3799,58.7,13.0
37023,Burke,0.8487,101.2,2.0
37025,Cabarrus,0.4175,69.4,3.0
37027,Caldwell,0.651,106.5,2.0
37029,Camden,0.307,6.4,0.0
37031,Carteret,0.4255,75.4,3.0
37033,Caswell,0.836,0.0,0.0
37035,Catawba,0.6481,98.2,6.0
37037,Chatham,0.3809,32.2,1.0
37039,Cherokee,0.4869,107.5,0.0
37041,Chowan,0.8118,98.6,0.0
37043,Clay,0.2191,109.1,1.0
37045,Cleveland,0.835,104.0,3.0
37047,Columbus,0.9481,118.7,1.0
37049,Craven,0.8099,84.6,1.0
37051,Cumberland,0.864,67.9,13.0
37053,Currituck,0.1194,12.6,0.0
37055,Dare,0.1449,87.4,4.0
37057,Davidson,0.6841,60.0,2.0
37059,Davie,0.4411,75.4,0.0
37061,Duplin,0.979,54.4,0.0
37063,Durham,0.6197,34.4,10.0
37065,Edgecombe,0.9726,61.2,0.0
37067,Forsyth,0.6834,55.9,9.0
37069,Franklin,0.6376,41.4,1.0
37071,Gaston,0.672,88.3,4.0
37073,Gates,0.3567,61.5,0.0
37075,Graham,0.6338,80.6,0.0
37077,Granville,0.6561,52.9,2.0
37079,Greene,0.9924,23.8,0.0
37081,Guilford,0.6369,56.1,10.0
37083,Halifax,0.9646,92.1,1.0
37085,Harnett,0.7869,59.1,3.0
37087,Haywood,0.2809,80.1,4.0
37089,Henderson,0.321,61.1,3.0
37091,Hertford,0.9873,104.2,0.0
37093,Hoke,0.8924,35.8,0.0
37095,Hyde,0.8627,49.9,0.0
37097,Iredell,0.3745,77.8,7.0
37099,Jackson,0.6236,68.1,0.0
37101,Johnston,0.5395,49.0,2.0
37103,Jones,0.8761,41.7,0.0
37105,Lee,0.8481,96.7,3.0
37107,Lenoir,0.9933,67.1,2.0
37109,Lincoln,0.3564,84.0,1.0
37111,McDowell,0.7895,60.3,1.0
37113,Macon,0.3548,73.2,1.0
37115,Madison,0.4586,42.8,0.0
37117,Martin,0.7541,84.9,2.0
37119,Mecklenburg,0.4408,39.9,21.0
37121,Mitchell,0.4223,109.2,0.0
37123,Montgomery,0.8713,45.4,2.0
37125,Moore,0.3621,82.3,5.0
37127,Nash,0.8287,72.4,3.0
37129,New Hanover,0.3771,69.1,9.0
37131,Northampton,0.9022,15.0,0.0
37133,Onslow,0.7465,56.5,3.0
37135,Orange,0.2959,32.2,5.0
37137,Pamlico,0.7162,76.5,1.0
37139,Pasquotank,0.7748,95.4,3.0
37141,Pender,0.5478,40.1,1.0
37143,Perquimans,0.5048,25.2,0.0
37145,Person,0.7732,77.6,0.0
37147,Pitt,0.8242,62.1,6.0
37149,Polk,0.3825,47.3,0.0
37151,Randolph,0.6965,53.7,1.0
37153,Richmond,0.9796,115.3,1.0
37155,Robeson,0.9911,103.1,3.0
37157,Rockingham,0.7857,107.8,2.0
37159,Rowan,0.8143,63.4,5.0
37161,Rutherford,0.7551,77.9,0.0
37163,Sampson,0.9723,65.4,0.0
37165,Scotland,0.9936,142.7,1.0
37167,Stanly,0.6325,86.9,2.0
37169,Stokes,0.3067,70.5,0.0
37171,Surry,0.7258,122.2,1.0
37173,Swain,0.7774,69.5,0.0
37175,Transylvania,0.3975,74.6,0.0
37177,Tyrrell,0.8764,70.6,0.0
37179,Union,0.1873,51.7,3.0
37181,Vance,0.9787,86.8,2.0
37183,Wake,0.2774,41.1,19.0
37185,Warren,0.8943,24.8,0.0
37187,Washington,0.8787,84.8,1.0
37189,Watauga,0.4121,63.5,2.0
37191,Wayne,0.9503,59.0,3.0
37193,Wilkes,0.6924,67.8,3.0
37195,Wilson,0.936,72.1,2.0
37197,Yadkin,0.6404,46.9,0.0
37199,Yancey,0.5736,74.0,0.0
