,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,31001,Adams,0.3592,67.8,1.0,NE,0.2177963379376807
1,31003,Antelope,0.1032,48.8,0.0,NE,0.15676196594924507
2,31005,Arthur,0.0083,50.6,0.0,NE,0.1625441696113074
3,31007,Banner,0.0041,50.6,0.0,NE,0.1625441696113074
4,31009,Blaine,0.0908,50.6,0.0,NE,0.1625441696113074
5,31011,Boone,0.0283,50.6,0.0,NE,0.1625441696113074
6,31013,Box Butte,0.3586,89.5,0.0,NE,0.2875040154192098
7,31015,Boyd,0.092,50.6,0.0,NE,0.1625441696113074
8,31017,Brown,0.1252,33.9,0.0,NE,0.10889816896884034
9,31019,Buffalo,0.2656,68.3,0.0,NE,0.21940250562158686
10,31021,Burt,0.2541,18.0,0.0,NE,0.05782203662062319
11,31023,Butler,0.1172,52.4,0.0,NE,0.16832637327336972
12,31025,Cass,0.0108,30.1,0.0,NE,0.09669129457115323
13,31027,Cedar,0.0121,32.7,0.0,NE,0.10504336652746547
14,31029,Chase,0.1551,52.8,0.0,NE,0.16961130742049468
15,31031,Cherry,0.2261,59.9,0.0,NE,0.19241888853196273
16,31033,Cheyenne,0.121,35.5,0.0,NE,0.11403790555734018
17,31035,Clay,0.1646,50.6,0.0,NE,0.1625441696113074
18,31037,Colfax,0.5188,50.6,0.0,NE,0.1625441696113074
19,31039,Cuming,0.1936,23.1,0.0,NE,0.07420494699646643
20,31041,Custer,0.1818,75.7,0.0,NE,0.24317378734339865
21,31043,Dakota,0.8615,63.2,0.0,NE,0.20301959524574364
22,31045,Dawes,0.1717,56.8,0.0,NE,0.1824606488917443
23,31047,Dawson,0.7933,54.9,0.0,NE,0.17635721169290072
24,31049,Deuel,0.165,50.6,0.0,NE,0.1625441696113074
25,31051,Dixon,0.379,10.4,0.0,NE,0.033408287825248954
26,31053,Dodge,0.5691,79.5,0.0,NE,0.25538066174108576
27,31055,Douglas,0.4669,49.6,7.0,NE,0.159331834243495
28,31057,Dundy,0.3038,107.7,0.0,NE,0.34596851911339543
29,31059,Fillmore,0.0618,0.1,0.0,NE,0.00032123353678124
30,31061,Franklin,0.0768,50.6,0.0,NE,0.1625441696113074
31,31063,Frontier,0.0994,50.6,0.0,NE,0.1625441696113074
32,31065,Furnas,0.1825,50.6,0.0,NE,0.1625441696113074
33,31067,Gage,0.1105,41.1,0.0,NE,0.13202698361708962
34,31069,Garden,0.0143,89.5,0.0,NE,0.2875040154192098
35,31071,Garfield,0.043,165.4,0.0,NE,0.5313202698361709
36,31073,Gosper,0.0051,50.6,0.0,NE,0.1625441696113074
37,31075,Grant,0.1328,50.6,0.0,NE,0.1625441696113074
38,31077,Greeley,0.0411,50.6,0.0,NE,0.1625441696113074
39,31079,Hall,0.6701,64.3,0.0,NE,0.20655316415033728
40,31081,Hamilton,0.0089,52.6,0.0,NE,0.16896884034693221
41,31083,Harlan,0.1239,80.4,0.0,NE,0.25827176357211695
42,31085,Hayes,0.0436,50.6,0.0,NE,0.1625441696113074
43,31087,Hitchcock,0.1943,50.6,0.0,NE,0.1625441696113074
44,31089,Holt,0.0981,11.6,0.0,NE,0.03726309026662383
45,31091,Hooker,0.1468,50.6,0.0,NE,0.1625441696113074
46,31093,Howard,0.0803,55.0,0.0,NE,0.17667844522968199
47,31095,Jefferson,0.2185,105.9,0.0,NE,0.3401863154513331
48,31097,Johnson,0.5777,45.3,0.0,NE,0.1455187921619017
49,31099,Kearney,0.0939,44.7,0.0,NE,0.14359139094121426
50,31101,Keith,0.2268,93.2,0.0,NE,0.29938965628011566
51,31103,Keya Paha,0.001,50.6,0.0,NE,0.1625441696113074
52,31105,Kimball,0.5611,50.6,0.0,NE,0.1625441696113074
53,31107,Knox,0.3277,29.0,1.0,NE,0.09315772566655958
54,31109,Lancaster,0.3025,50.3,4.0,NE,0.16158046900096368
55,31111,Lincoln,0.3675,81.3,1.0,NE,0.2611628654031481
56,31113,Logan,0.1073,50.6,0.0,NE,0.1625441696113074
57,31115,Loup,0.0045,50.6,0.0,NE,0.1625441696113074
58,31117,McPherson,0.0838,50.6,0.0,NE,0.1625441696113074
59,31119,Madison,0.5105,79.4,0.0,NE,0.25505942820430455
60,31121,Merrick,0.1975,77.6,0.0,NE,0.2492772245422422
61,31123,Morrill,0.422,57.7,0.0,NE,0.18535175072277546
62,31125,Nance,0.0825,39.2,0.0,NE,0.12592354641824607
63,31127,Nemaha,0.1659,82.4,0.0,NE,0.26469643430774176
64,31129,Nuckolls,0.1736,42.8,0.0,NE,0.1374879537423707
65,31131,Otoe,0.2287,70.5,0.0,NE,0.22646964343077416
66,31133,Pawnee,0.2318,50.9,0.0,NE,0.16350787022165114
67,31135,Perkins,0.0538,76.4,0.0,NE,0.24542242210086734
68,31137,Phelps,0.1226,104.8,0.0,NE,0.33665274654673943
69,31139,Pierce,0.0229,25.2,0.0,NE,0.08095085126887247
70,31141,Platte,0.2994,60.3,0.0,NE,0.19370382267908767
71,31143,Polk,0.1908,23.0,0.0,NE,0.07388371345968518
72,31145,Red Willow,0.2373,103.7,0.0,NE,0.3331191776421458
73,31147,Richardson,0.1025,37.8,0.0,NE,0.12142627690330869
74,31149,Rock,0.0092,50.6,0.0,NE,0.1625441696113074
75,31151,Saline,0.5978,48.7,0.0,NE,0.15644073241246387
76,31153,Sarpy,0.0971,40.0,0.0,NE,0.12849341471249598
77,31155,Saunders,0.0424,19.8,0.0,NE,0.0636042402826855
78,31157,Scotts Bluff,0.5675,75.5,0.0,NE,0.24253132026983618
79,31159,Seward,0.0468,47.1,0.0,NE,0.15130099582396403
80,31161,Sheridan,0.5968,50.6,0.0,NE,0.1625441696113074
81,31163,Sherman,0.0739,50.6,0.0,NE,0.1625441696113074
82,31165,Sioux,0.0178,50.6,0.0,NE,0.1625441696113074
83,31167,Stanton,0.057,50.6,0.0,NE,0.1625441696113074
84,31169,Thayer,0.058,50.6,0.0,NE,0.1625441696113074
85,31171,Thomas,0.0035,50.6,0.0,NE,0.1625441696113074
86,31173,Thurston,0.8866,0.0,0.0,NE,0.0001
87,31175,Valley,0.1484,50.6,0.0,NE,0.1625441696113074
88,31177,Washington,0.0379,42.8,0.0,NE,0.1374879537423707
89,31179,Wayne,0.0847,43.2,0.0,NE,0.13877288788949566
90,31181,Webster,0.1092,0.0,0.0,NE,0.0001
91,31183,Wheeler,0.0048,50.6,0.0,NE,0.1625441696113074
92,31185,York,0.1828,86.7,0.0,NE,0.27850947638933504
