FIPS,COUNTY,RPL_THEMES,pres_r,n
34001,Atlantic,0.7911,54.3,10
34003,Bergen,0.2395,32.0,9
34005,Burlington,0.2054,51.1,5
34007,Camden,0.6118,61.5,17
34009,Cape May,0.3398,64.7,4
34011,Cumberland,0.9592,68.7,2
34013,Essex,0.8404,29.3,13
34015,Gloucester,0.1675,58.3,6
34017,Hudson,0.6424,28.0,9
34019,Hunterdon,0.0264,32.1,4
34021,Mercer,0.558,42.4,8
34023,Middlesex,0.4659,32.6,11
34025,Monmouth,0.1605,41.0,17
34027,Morris,0.1201,30.4,5
34029,Ocean,0.3354,48.0,11
34031,Passaic,0.7764,32.5,7
34033,Salem,0.5901,50.0,1
34035,Somerset,0.1,26.9,2
34037,Sussex,0.0191,42.7,6
34039,Union,0.6232,29.7,7
34041,Warren,0.2178,51.1,2
