,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,35001,Bernalillo,0.6828,51.0,17.0,NM,0.16382910375843238
1,35003,Catron,0.3357,49.4,0.0,NM,0.15868936716993254
2,35005,Chaves,0.9551,62.5,2.0,NM,0.20077096048827497
3,35006,Cibola,0.9984,30.6,0.0,NM,0.09829746225505943
4,35007,Colfax,0.9627,53.1,0.0,NM,0.17057500803083842
5,35009,Curry,0.8774,47.0,0.0,NM,0.15097976228718277
6,35011,De Baca,0.6939,0.1,0.0,NM,0.00032123353678124
7,35013,Doña Ana,0.9841,36.9,1.0,NM,0.11853517507227754
8,35015,Eddy,0.7032,70.8,1.0,NM,0.22743334404111787
9,35017,Grant,0.9296,54.2,0.0,NM,0.17410857693543205
10,35019,Guadalupe,0.9529,0.1,0.0,NM,0.00032123353678124
11,35021,Harding,0.3615,49.4,0.0,NM,0.15868936716993254
12,35023,Hidalgo,0.9631,49.4,0.0,NM,0.15868936716993254
13,35025,Lea,0.9217,65.3,1.0,NM,0.20976549951814968
14,35027,Lincoln,0.4796,66.5,1.0,NM,0.21362030195952456
15,35028,Los Alamos,0.0248,56.3,0.0,NM,0.1808544812078381
16,35029,Luna,0.999,59.0,0.0,NM,0.18952778670093157
17,35031,McKinley,0.9889,18.9,2.0,NM,0.060713138451654346
18,35033,Mora,0.7959,49.4,0.0,NM,0.15868936716993254
19,35035,Otero,0.914,43.7,0.0,NM,0.14037905557340186
20,35037,Quay,0.8096,67.1,0.0,NM,0.215547703180212
21,35039,Rio Arriba,0.5,68.0,4.0,NM,0.21843880501124316
22,35041,Roosevelt,0.943,17.1,0.0,NM,0.05493093478959204
23,35043,Sandoval,0.4818,42.0,3.0,NM,0.13491808544812078
24,35045,San Juan,0.9194,45.5,1.0,NM,0.14616125923546416
25,35047,San Miguel,0.9863,49.4,0.0,NM,0.15868936716993254
26,35049,Santa Fe,0.5255,62.5,8.0,NM,0.20077096048827497
27,35051,Sierra,0.9146,68.5,0.0,NM,0.22004497269514936
28,35053,Socorro,0.9745,57.5,3.0,NM,0.18470928364921296
29,35055,Taos,0.8586,61.0,1.0,NM,0.19595245743655637
30,35057,Torrance,0.749,17.3,0.0,NM,0.055573401863154515
31,35059,Union,0.6793,39.5,0.0,NM,0.12688724702858978
32,35061,Valencia,0.9041,61.0,2.0,NM,0.19595245743655637
