FIPS,COUNTY,RPL_THEMES,pres_r,n
32001,Churchill,0.6048,77.7,2.0
32003,Clark,0.7404,53.2,14.0
32005,Douglas,0.1793,82.6,0.0
32007,Elko,0.5178,41.8,1.0
32009,Esmeralda,0.6395,55.5,0.0
32011,Eureka,0.0675,55.5,0.0
32013,Humboldt,0.5869,44.6,0.0
32015,Lander,0.8261,55.5,0.0
32017,Lincoln,0.4213,67.1,0.0
32019,Lyon,0.5783,63.9,1.0
32021,Mineral,0.8815,64.7,0.0
32023,Nye,0.7309,90.5,0.0
32027,Pershing,0.9038,24.3,0.0
32029,Storey,0.0717,55.5,0.0
32031,Washoe,0.5271,56.9,7.0
32033,White Pine,0.3742,71.7,0.0
32510,Carson City,0.8443,91.8,2.0
