,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,32001,Churchill,0.6048,77.7,2.0,NV,0.24959845807902345
1,32003,Clark,0.7404,53.2,14.0,NV,0.17089624156761965
2,32005,Douglas,0.1793,82.6,0.0,NV,0.26533890138130417
3,32007,Elko,0.5178,41.8,1.0,NV,0.1342756183745583
4,32009,Esmeralda,0.6395,55.5,0.0,NV,0.17828461291358816
5,32011,Eureka,0.0675,55.5,0.0,NV,0.17828461291358816
6,32013,Humboldt,0.5869,44.6,0.0,NV,0.14327015740443302
7,32015,Lander,0.8261,55.5,0.0,NV,0.17828461291358816
8,32017,Lincoln,0.4213,67.1,0.0,NV,0.215547703180212
9,32019,Lyon,0.5783,63.9,1.0,NV,0.20526823000321232
10,32021,Mineral,0.8815,64.7,0.0,NV,0.20783809829746225
11,32023,Nye,0.7309,90.5,0.0,NV,0.2907163507870222
12,32027,Pershing,0.9038,24.3,0.0,NV,0.07805974943784132
13,32029,Storey,0.0717,55.5,0.0,NV,0.17828461291358816
14,32031,Washoe,0.5271,56.9,7.0,NV,0.18278188242852553
15,32033,White Pine,0.3742,71.7,0.0,NV,0.23032444587214906
16,32510,Carson City,0.8443,91.8,2.0,NV,0.29489238676517826
