FIPS,COUNTY,RPL_THEMES,pres_r,n
36001,Albany,0.3041,37.7,17
36003,Allegany,0.5818,47.3,1
36005,Bronx,0.9927,23.1,34
36007,Broome,0.6166,55.7,4
36009,Cattaraugus,0.7283,57.6,3
36011,Cayuga,0.5025,41.4,2
36013,Chautauqua,0.7248,54.4,6
36015,Chemung,0.485,67,1
36017,Chenango,0.5646,43.2,1
36019,Clinton,0.5312,66.5,5
36021,Columbia,0.3854,49.9,1
36023,Cortland,0.3452,50,2
36025,Delaware,0.6331,44.9,1
36027,Dutchess,0.4207,46.6,6
36029,Erie,0.414,53.2,31
36031,Essex,0.3869,40.8,1
36033,Franklin,0.7073,57.1,4
36035,Fulton,0.501,57.4,1
36037,Genesee,0.1879,43.6,3
36039,Greene,0.4159,53.8,2
36041,Hamilton,0.3898,34,0
36043,Herkimer,0.5322,38.4,1
36045,Jefferson,0.6484,50.9,2
36047,Kings,0.8153,18.2,33
36049,Lewis,0.2911,30.4,0
36051,Livingston,0.3424,41,2
36053,Madison,0.1666,48.8,1
36055,Monroe,0.5204,37.8,19
36057,Montgomery,0.8306,68.2,1
36059,Nassau,0.243,32.3,32
36061,New York,0.551,29.8,65
36063,Niagara,0.3318,58.1,8
36065,Oneida,0.6946,47.8,5
36067,Onondaga,0.5207,46.9,12
36069,Ontario,0.2315,40.3,6
36071,Orange,0.5538,44.7,13
36073,Orleans,0.643,42.4,1
36075,Oswego,0.6497,48.7,3
36077,Otsego,0.4236,50.7,1
36079,Putnam,0.0812,34.4,4
36081,Queens,0.6201,18.6,27
36083,Rensselaer,0.343,47.6,3
36085,Richmond,0.4764,35.8,14
36087,Rockland,0.6038,28.1,6
36089,St. Lawrence,0.7475,59.6,5
36091,Saratoga,0.0475,39.1,3
36093,Schenectady,0.3943,43.4,5
36095,Schoharie,0.4013,45.6,1
36097,Schuyler,0.3691,51.6,1
36099,Seneca,0.449,40.1,1
36101,Steuben,0.4691,55.2,1
36103,Suffolk,0.2146,41.9,34
36105,Sullivan,0.7939,59,3
36107,Tioga,0.1994,32.5,1
36109,Tompkins,0.3462,43.3,4
36111,Ulster,0.4704,53.2,4
36113,Warren,0.1742,74.1,3
36115,Washington,0.4,53.6,1
36117,Wayne,0.3414,42.4,2
36119,Westchester,0.5516,28.3,26
36121,Wyoming,0.3121,43.3,0
36123,Yates,0.4392,26.2,1
