FIPS,COUNTY,RPL_THEMES,pres_r,n
39001,Adams,0.7704,69.0,0.0
39003,Allen,0.5793,66.0,2.0
39005,Ashland,0.4334,30.2,1.0
39007,Ashtabula,0.7857,49.5,3.0
39009,Athens,0.7325,58.1,2.0
39011,Auglaize,0.0535,35.8,0.0
39013,Belmont,0.3596,63.0,0.0
39015,Brown,0.4048,67.5,3.0
39017,Butler,0.3618,54.9,11.0
39019,Carroll,0.1538,30.2,0.0
39021,Champaign,0.2978,55.7,1.0
39023,Clark,0.7271,76.3,4.0
39025,Clermont,0.1029,62.6,6.0
39027,Clinton,0.4424,75.1,0.0
39029,Columbiana,0.4854,57.2,4.0
39031,Coshocton,0.6207,54.7,1.0
39033,Crawford,0.3191,67.1,3.0
39035,Cuyahoga,0.6809,39.1,25.0
39037,Darke,0.1347,39.1,0.0
39039,Defiance,0.2166,60.2,2.0
39041,Delaware,0.0166,41.6,2.0
39043,Erie,0.2914,60.2,3.0
39045,Fairfield,0.2354,54.6,2.0
39047,Fayette,0.5016,73.0,0.0
39049,Franklin,0.5124,50.1,28.0
39051,Fulton,0.1777,56.3,0.0
39053,Gallia,0.664,54.2,2.0
39055,Geauga,0.0901,39.9,2.0
39057,Greene,0.2076,51.3,4.0
39059,Guernsey,0.6707,72.4,1.0
39061,Hamilton,0.5369,52.6,16.0
39063,Hancock,0.2111,46.6,1.0
39065,Hardin,0.471,51.2,0.0
39067,Harrison,0.5194,49.2,0.0
39069,Henry,0.1557,41.6,2.0
39071,Highland,0.6898,79.6,2.0
39073,Hocking,0.4685,67.3,2.0
39075,Holmes,0.436,17.0,0.0
39077,Huron,0.4325,68.9,2.0
39079,Jackson,0.7726,89.2,1.0
39081,Jefferson,0.5494,80.1,4.0
39083,Knox,0.2943,37.0,3.0
39085,Lake,0.1293,51.5,6.0
39087,Lawrence,0.5583,62.8,3.0
39089,Licking,0.229,47.9,2.0
39091,Logan,0.3169,62.1,1.0
39093,Lorain,0.5089,50.1,9.0
39095,Lucas,0.6876,73.6,11.0
39097,Madison,0.3382,56.6,1.0
39099,Mahoning,0.5889,67.9,10.0
39101,Marion,0.6414,83.0,5.0
39103,Medina,0.0102,42.4,3.0
39105,Meigs,0.6787,41.9,1.0
39107,Mercer,0.051,36.7,0.0
39109,Miami,0.1191,47.7,1.0
39111,Monroe,0.443,29.2,0.0
39113,Montgomery,0.6726,63.2,12.0
39115,Morgan,0.5659,32.0,0.0
39117,Morrow,0.192,40.0,2.0
39119,Muskingum,0.5981,71.1,3.0
39121,Noble,0.4293,15.9,0.0
39123,Ottawa,0.1541,51.4,1.0
39125,Paulding,0.2885,24.1,0.0
39127,Perry,0.5545,59.4,2.0
39129,Pickaway,0.2818,51.5,0.0
39131,Pike,0.7994,75.1,0.0
39133,Portage,0.2455,43.1,4.0
39135,Preble,0.1691,48.4,0.0
39137,Putnam,0.0153,29.1,1.0
39139,Richland,0.6169,51.6,4.0
39141,Ross,0.7255,65.6,4.0
39143,Sandusky,0.3987,56.4,3.0
39145,Scioto,0.8347,78.8,3.0
39147,Seneca,0.3755,51.5,3.0
39149,Shelby,0.1892,53.1,0.0
39151,Stark,0.3666,65.4,5.0
39153,Summit,0.3334,51.8,11.0
39155,Trumbull,0.464,72.3,4.0
39157,Tuscarawas,0.3443,53.1,1.0
39159,Union,0.0771,51.4,2.0
39161,Van Wert,0.1697,47.6,0.0
39163,Vinton,0.7229,17.7,1.0
39165,Warren,0.0478,47.3,3.0
39167,Washington,0.3497,88.6,3.0
39169,Wayne,0.479,40.7,3.0
39171,Williams,0.2691,37.9,1.0
39173,Wood,0.1662,38.0,1.0
39175,Wyandot,0.2274,35.1,0.0
