,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,39001,Adams,0.7704,69.0,0.0,OH,0.22165114037905556
1,39003,Allen,0.5793,66.0,2.0,OH,0.21201413427561835
2,39005,Ashland,0.4334,30.2,1.0,OH,0.09701252810793447
3,39007,Ashtabula,0.7857,49.5,3.0,OH,0.15901060070671377
4,39009,Athens,0.7325,58.1,2.0,OH,0.18663668486990043
5,39011,Auglaize,0.0535,35.8,0.0,OH,0.11500160616768389
6,39013,Belmont,0.3596,63.0,0.0,OH,0.20237712817218118
7,39015,Brown,0.4048,67.5,3.0,OH,0.21683263732733696
8,39017,Butler,0.3618,54.9,11.0,OH,0.17635721169290072
9,39019,Carroll,0.1538,30.2,0.0,OH,0.09701252810793447
10,39021,Champaign,0.2978,55.7,1.0,OH,0.17892707998715066
11,39023,Clark,0.7271,76.3,4.0,OH,0.24510118856408608
12,39025,Clermont,0.1029,62.6,6.0,OH,0.2010921940250562
13,39027,Clinton,0.4424,75.1,0.0,OH,0.24124638612271118
14,39029,Columbiana,0.4854,57.2,4.0,OH,0.18374558303886926
15,39031,Coshocton,0.6207,54.7,1.0,OH,0.17571474461933825
16,39033,Crawford,0.3191,67.1,3.0,OH,0.215547703180212
17,39035,Cuyahoga,0.6809,39.1,25.0,OH,0.1256023128814648
18,39037,Darke,0.1347,39.1,0.0,OH,0.1256023128814648
19,39039,Defiance,0.2166,60.2,2.0,OH,0.19338258914230647
20,39041,Delaware,0.0166,41.6,2.0,OH,0.13363315130099582
21,39043,Erie,0.2914,60.2,3.0,OH,0.19338258914230647
22,39045,Fairfield,0.2354,54.6,2.0,OH,0.17539351108255702
23,39047,Fayette,0.5016,73.0,0.0,OH,0.23450048185030517
24,39049,Franklin,0.5124,50.1,28.0,OH,0.1609380019274012
25,39051,Fulton,0.1777,56.3,0.0,OH,0.1808544812078381
26,39053,Gallia,0.664,54.2,2.0,OH,0.17410857693543205
27,39055,Geauga,0.0901,39.9,2.0,OH,0.12817218117571474
28,39057,Greene,0.2076,51.3,4.0,OH,0.16479280436877608
29,39059,Guernsey,0.6707,72.4,1.0,OH,0.23257308062961773
30,39061,Hamilton,0.5369,52.6,16.0,OH,0.16896884034693221
31,39063,Hancock,0.2111,46.6,1.0,OH,0.14969482814005783
32,39065,Hardin,0.471,51.2,0.0,OH,0.16447157083199487
33,39067,Harrison,0.5194,49.2,0.0,OH,0.15804690009637007
34,39069,Henry,0.1557,41.6,2.0,OH,0.13363315130099582
