FIPS,COUNTY,RPL_THEMES,pres_r,n
40001,Adair,0.8965,58,0
40003,Alfalfa,0.2535,79.1,0
40005,Atoka,0.8076,26.7,0
40007,Beaver,0.4554,79.1,0
40009,Beckham,0.7118,86.4,0
40011,Blaine,0.6678,0,0
40013,Bryan,0.8127,109.6,1
40015,Caddo,0.9459,47.6,0
40017,Canadian,0.2621,74.1,0
40019,Carter,0.7914,141.1,2
40021,Cherokee,0.9271,97.2,0
40023,Choctaw,0.9602,24.2,0
40025,Cimarron,0.4475,33.3,0
40027,Cleveland,0.3436,69,2
40029,Coal,0.8255,70.7,0
40031,Comanche,0.8354,70.9,2
40033,Cotton,0.6742,79.1,0
40035,Craig,0.8538,83.9,1
40037,Creek,0.4901,87.1,1
40039,Custer,0.7503,85.5,0
40041,Delaware,0.7697,69.6,2
40043,Dewey,0.2248,8.3,0
40045,Ellis,0.3019,0,0
40047,Garfield,0.5908,87.2,0
40049,Garvin,0.5115,40.6,0
40051,Grady,0.308,50,0
40053,Grant,0.1634,21.7,0
40055,Greer,0.7742,15.8,0
40057,Harmon,0.8108,174.2,0
40059,Harper,0.3185,79.1,0
40061,Haskell,0.8736,87.6,1
40063,Hughes,0.8115,20.7,0
40065,Jackson,0.8226,91.3,0
40067,Jefferson,0.8745,79.1,0
40069,Johnston,0.8468,0,0
40071,Kay,0.842,76.4,2
40073,Kingfisher,0.3806,108.4,0
40075,Kiowa,0.6545,29.9,0
40077,Latimer,0.8936,65.3,1
40079,Le Flore,0.9032,71,2
40081,Lincoln,0.4787,19.2,1
40083,Logan,0.2984,32.6,0
40085,Love,0.6293,69.4,0
40087,McClain,0.1624,109.9,0
40089,McCurtain,0.9137,57,0
40091,McIntosh,0.7828,54.4,1
40093,Major,0.3204,41.3,0
40095,Marshall,0.8545,61.9,0
40097,Mayes,0.7519,75.2,0
40099,Murray,0.7092,121.7,0
40101,Muskogee,0.9338,112,2
40103,Noble,0.3385,0,0
40105,Nowata,0.5895,46.3,0
40107,Okfuskee,0.9287,0,0
40109,Oklahoma,0.6818,84.6,8
40111,Okmulgee,0.8659,74.1,0
40113,Osage,0.6239,8.6,1
40115,Ottawa,0.9576,73.4,2
40117,Pawnee,0.5424,77.7,0
40119,Payne,0.5131,76.7,1
40121,Pittsburg,0.8264,126.8,1
40123,Pontotoc,0.65,102.3,0
40125,Pottawatomie,0.7815,117.8,2
40127,Pushmataha,0.7863,38.4,0
40129,Roger Mills,0.4003,79.1,0
40131,Rogers,0.2834,82.8,1
40133,Seminole,0.929,61.4,1
40135,Sequoyah,0.9159,31.7,2
40137,Stephens,0.6051,127.8,0
40139,Texas,0.821,29.1,0
40141,Tillman,0.871,95.8,0
40143,Tulsa,0.6159,98.1,9
40145,Wagoner,0.4245,49.4,0
40147,Washington,0.4382,93.5,3
40149,Washita,0.4045,79.1,0
40151,Woods,0.314,20.9,0
40153,Woodward,0.5745,89.3,0
