,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,41001,Baker,0.6854,94.6,0.0,OR,0.303886925795053
1,41003,Benton,0.349,31.2,2.0,OR,0.10022486347574686
2,41005,Clackamas,0.1895,56.8,4.0,OR,0.1824606488917443
3,41007,Clatsop,0.5185,79.4,1.0,OR,0.25505942820430455
4,41009,Columbia,0.4025,55.9,0.0,OR,0.17956954706071312
5,41011,Coos,0.743,99.3,0.0,OR,0.3189849020237713
6,41013,Crook,0.5729,73.7,1.0,OR,0.23674911660777384
7,41015,Curry,0.4879,125.2,2.0,OR,0.4021843880501124
8,41017,Deschutes,0.1637,67.4,3.0,OR,0.21651140379055575
9,41019,Douglas,0.7277,78.5,3.0,OR,0.25216832637327335
10,41021,Gilliam,0.5092,70.7,0.0,OR,0.22711211050433666
11,41023,Grant,0.5465,60.4,0.0,OR,0.19402505621586894
12,41025,Harney,0.7108,79.9,0.0,OR,0.25666559588821075
13,41027,Hood River,0.5455,70.4,1.0,OR,0.22614840989399293
14,41029,Jackson,0.7354,85.7,6.0,OR,0.27529714102152264
15,41031,Jefferson,0.9118,43.7,1.0,OR,0.14037905557340186
16,41033,Josephine,0.6557,94.8,2.0,OR,0.30452939286861547
17,41035,Klamath,0.8688,56.2,1.0,OR,0.18053324767105686
18,41037,Lake,0.7608,67.1,0.0,OR,0.215547703180212
19,41039,Lane,0.649,74.7,5.0,OR,0.23996145197558624
20,41041,Lincoln,0.5522,82.6,3.0,OR,0.26533890138130417
21,41043,Linn,0.679,77.6,0.0,OR,0.2492772245422422
22,41045,Malheur,0.9965,118.5,1.0,OR,0.38066174108576933
23,41047,Marion,0.8535,49.1,7.0,OR,0.1577256665595888
24,41049,Morrow,0.7643,28.9,0.0,OR,0.09283649212977835
25,41051,Multnomah,0.4675,36.5,16.0,OR,0.11725024092515259
26,41053,Polk,0.5777,42.3,2.0,OR,0.1358817860584645
27,41055,Sherman,0.135,57.3,0.0,OR,0.1840668165756505
28,41057,Tillamook,0.6586,83.8,0.0,OR,0.26919370382267904
29,41059,Umatilla,0.9688,64.8,2.0,OR,0.20815933183424348
30,41061,Union,0.6729,85.6,1.0,OR,0.2749759074847414
31,41063,Wallowa,0.5032,70.9,2.0,OR,0.22775457757789913
32,41065,Wasco,0.8389,106.8,0.0,OR,0.34307741728236424
33,41067,Washington,0.3194,38.5,10.0,OR,0.12367491166077738
34,41069,Wheeler,0.3901,57.3,0.0,OR,0.1840668165756505
35,41071,Yamhill,0.6608,51.7,0.0,OR,0.16607773851590107
