,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,42001,Adams,0.2118,32.2,1.0,PA,0.10343719884355927
1,42003,Allegheny,0.2506,50.2,27.0,PA,0.16125923546418247
2,42005,Armstrong,0.2475,63.6,1.0,PA,0.2043045293928686
3,42007,Beaver,0.2481,55.3,4.0,PA,0.1776421458400257
4,42009,Bedford,0.2729,42.9,1.0,PA,0.13780918727915192
5,42011,Berks,0.6162,42.7,3.0,PA,0.13716672020558945
6,42013,Blair,0.3981,75.6,5.0,PA,0.24285255380661738
7,42015,Bradford,0.3471,49.4,2.0,PA,0.15868936716993254
8,42017,Bucks,0.0831,51.9,17.0,PA,0.16672020558946352
9,42019,Butler,0.079,51.5,5.0,PA,0.16543527144233858
10,42021,Cambria,0.4892,74.2,3.0,PA,0.23835528429168004
11,42023,Cameron,0.3006,72.4,0.0,PA,0.23257308062961773
12,42025,Carbon,0.3048,50.0,0.0,PA,0.16061676839061997
13,42027,Centre,0.2892,34.6,4.0,PA,0.11114680372630903
14,42029,Chester,0.1436,38.8,8.0,PA,0.1246386122711211
15,42031,Clarion,0.4771,54.6,1.0,PA,0.17539351108255702
16,42033,Clearfield,0.6054,53.2,1.0,PA,0.17089624156761965
17,42035,Clinton,0.486,57.4,1.0,PA,0.18438805011243173
18,42037,Columbia,0.2768,62.2,0.0,PA,0.19980725987793127
19,42039,Crawford,0.5064,58.1,1.0,PA,0.18663668486990043
20,42041,Cumberland,0.1615,48.1,4.0,PA,0.15451333119177643
21,42043,Dauphin,0.4975,44.1,5.0,PA,0.14166398972052682
22,42045,Delaware,0.4131,47.9,6.0,PA,0.15387086411821393
23,42047,Elk,0.1166,59.7,0.0,PA,0.19177642145840026
24,42049,Erie,0.6194,58.3,8.0,PA,0.18727915194346287
25,42051,Fayette,0.6248,98.9,4.0,PA,0.31769996787664634
26,42053,Forest,0.7115,35.6,0.0,PA,0.11435913909412143
27,42055,Franklin,0.3373,48.5,3.0,PA,0.15579826533890137
28,42057,Fulton,0.2201,55.7,0.0,PA,0.17892707998715066
29,42059,Greene,0.435,60.6,1.0,PA,0.1946675232894314
30,42061,Huntingdon,0.4908,43.1,1.0,PA,0.13845165435271442
31,42063,Indiana,0.5484,47.2,2.0,PA,0.15162222936074526
32,42065,Jefferson,0.3312,54.1,0.0,PA,0.17378734339865082
33,42067,Juniata,0.4484,42.6,0.0,PA,0.13684548666880822
34,42069,Lackawanna,0.5252,83.7,1.0,PA,0.26887247028589784
35,42071,Lancaster,0.4573,40.3,10.0,PA,0.12945711532283968
36,42073,Lawrence,0.4694,65.1,2.0,PA,0.2091230324445872
37,42075,Lebanon,0.5328,41.4,3.0,PA,0.13299068422743335
38,42077,Lehigh,0.635,35.0,3.0,PA,0.11243173787343398
39,42079,Luzerne,0.6089,61.5,6.0,PA,0.19755862512046257
40,42081,Lycoming,0.421,64.7,3.0,PA,0.20783809829746225
41,42083,McKean,0.5462,70.2,0.0,PA,0.22550594282043046
42,42085,Mercer,0.542,77.6,2.0,PA,0.2492772245422422
43,42087,Mifflin,0.4723,55.9,0.0,PA,0.17956954706071312
44,42089,Monroe,0.3064,56.7,3.0,PA,0.18213941535496306
45,42091,Montgomery,0.1653,43.7,7.0,PA,0.14037905557340186
46,42093,Montour,0.3111,59.0,0.0,PA,0.18952778670093157
47,42095,Northampton,0.2876,49.3,1.0,PA,0.15836813363315128
48,42097,Northumberland,0.5006,67.3,2.0,PA,0.2161901702537745
49,42099,Perry,0.1089,43.1,0.0,PA,0.13845165435271442
50,42101,Philadelphia,0.9204,44.2,44.0,PA,0.14198522325730806
51,42103,Pike,0.1287,38.8,0.0,PA,0.1246386122711211
52,42105,Potter,0.4417,48.9,0.0,PA,0.15708319948602634
53,42107,Schuylkill,0.4506,59.8,1.0,PA,0.19209765499518147
54,42109,Snyder,0.2299,48.1,0.0,PA,0.15451333119177643
55,42111,Somerset,0.4226,48.9,2.0,PA,0.15708319948602634
56,42113,Sullivan,0.3576,30.4,0.0,PA,0.09765499518149694
57,42115,Susquehanna,0.2064,42.5,0.0,PA,0.13652425313202698
58,42117,Tioga,0.3153,52.6,1.0,PA,0.16896884034693221
59,42119,Union,0.3605,42.8,0.0,PA,0.1374879537423707
60,42121,Venango,0.4229,58.3,0.0,PA,0.18727915194346287
61,42123,Warren,0.2134,61.6,1.0,PA,0.1978798586572438
62,42125,Washington,0.1694,52.7,7.0,PA,0.16929007388371345
63,42127,Wayne,0.2631,52.2,1.0,PA,0.16768390619980728
64,42129,Westmoreland,0.1379,55.8,10.0,PA,0.1792483135239319
65,42131,Wyoming,0.1121,50.2,0.0,PA,0.16125923546418247
66,42133,York,0.329,43.9,5.0,PA,0.14102152264696433
