FIPS,COUNTY,RPL_THEMES,pres_r,n
45001,Abbeville,0.8564,47.1,0.0
45003,Aiken,0.6666,67.0,1.0
45005,Allendale,0.993,41.2,0.0
45007,Anderson,0.701,76.8,2.0
45009,Bamberg,0.9516,77.9,1.0
45011,Barnwell,0.9904,74.1,1.0
45013,Beaufort,0.4006,54.0,1.0
45015,Berkeley,0.5146,46.7,1.0
45017,Calhoun,0.5627,7.9,0.0
45019,Charleston,0.3156,56.3,8.0
45021,Cherokee,0.6978,93.0,1.0
45023,Chester,0.7363,71.5,0.0
45025,Chesterfield,0.9487,68.9,0.0
45027,Clarendon,0.9793,68.7,0.0
45029,Colleton,0.8,104.3,0.0
45031,Darlington,0.9268,127.4,1.0
45033,Dillon,0.9682,97.0,1.0
45035,Dorchester,0.4188,77.5,1.0
45037,Edgefield,0.8484,46.2,0.0
45039,Fairfield,0.7484,41.8,1.0
45041,Florence,0.8987,107.4,3.0
45043,Georgetown,0.6771,66.4,0.0
45045,Greenville,0.5038,69.3,7.0
45047,Greenwood,0.9344,89.7,1.0
45049,Hampton,0.8032,80.6,0.0
45051,Horry,0.6102,83.3,3.0
45053,Jasper,0.9449,50.7,2.0
45055,Kershaw,0.4959,67.5,0.0
45057,Lancaster,0.5121,63.7,1.0
45059,Laurens,0.9172,69.2,2.0
45061,Lee,0.921,37.5,0.0
45063,Lexington,0.442,72.4,4.0
45065,McCormick,0.7373,0.0,0.0
45067,Marion,0.9293,86.9,1.0
45069,Marlboro,0.9869,91.8,0.0
45071,Newberry,0.9232,64.3,1.0
45073,Oconee,0.7293,94.0,1.0
45075,Orangeburg,0.9229,69.7,1.0
45077,Pickens,0.599,84.4,2.0
45079,Richland,0.6309,50.8,4.0
45081,Saluda,0.7949,35.2,1.0
45083,Spartanburg,0.7618,82.4,4.0
45085,Sumter,0.9732,61.1,2.0
45087,Union,0.8678,86.9,0.0
45089,Williamsburg,0.9704,63.2,0.0
45091,York,0.3662,52.0,3.0
