FIPS,COUNTY,RPL_THEMES,pres_r,n
47001,Anderson,0.6064,109.5,1.0
47003,Bedford,0.7758,80.8,0.0
47005,Benton,0.7029,94.4,0.0
47007,Bledsoe,0.8159,68.4,0.0
47009,Blount,0.2452,69.1,4.0
47011,Bradley,0.6914,102.0,0.0
47013,Campbell,0.7338,145.7,2.0
47015,Cannon,0.3704,63.1,0.0
47017,Carroll,0.7443,102.2,0.0
47019,Carter,0.6153,88.7,0.0
47021,Cheatham,0.2369,82.9,0.0
47023,Chester,0.6436,81.0,0.0
47025,Claiborne,0.7102,148.2,1.0
47027,Clay,0.5939,157.6,0.0
47029,Cocke,0.6857,145.1,1.0
47031,Coffee,0.4914,138.3,3.0
47033,Crockett,0.7812,55.2,0.0
47035,Cumberland,0.5373,102.2,1.0
47037,Davidson,0.5363,60.6,8.0
47039,Decatur,0.5086,122.2,0.0
47041,DeKalb,0.4306,116.2,0.0
47043,Dickson,0.429,97.7,4.0
47045,Dyer,0.7596,160.0,1.0
47047,Fayette,0.2554,57.7,0.0
47049,Fentress,0.6373,123.4,0.0
47051,Franklin,0.3764,92.3,0.0
47053,Gibson,0.735,119.1,0.0
47055,Giles,0.6032,99.8,1.0
47057,Grainger,0.593,71.4,0.0
47059,Greene,0.5446,96.3,2.0
47061,Grundy,0.8685,155.4,0.0
47063,Hamblen,0.8146,122.9,2.0
47065,Hamilton,0.4137,94.5,9.0
47067,Hancock,0.7666,104.9,0.0
47069,Hardeman,0.8672,89.3,0.0
47071,Hardin,0.7064,130.3,2.0
47073,Hawkins,0.708,70.6,0.0
47075,Haywood,0.8717,63.0,0.0
47077,Henderson,0.6981,102.0,0.0
47079,Henry,0.6347,141.7,0.0
47081,Hickman,0.5662,54.1,1.0
47083,Houston,0.5551,110.4,0.0
47085,Humphreys,0.3688,96.0,0.0
47087,Jackson,0.6,36.7,0.0
47089,Jefferson,0.5608,90.0,1.0
47091,Johnson,0.5653,76.9,0.0
47093,Knox,0.3035,73.1,9.0
47095,Lake,0.9185,64.5,0.0
47097,Lauderdale,0.9672,98.4,0.0
47099,Lawrence,0.8318,111.2,0.0
47101,Lewis,0.6363,116.7,6.0
47103,Lincoln,0.6777,84.9,0.0
47105,Loudon,0.3863,75.4,0.0
47107,McMinn,0.6551,113.6,1.0
47109,McNairy,0.7172,124.6,0.0
47111,Macon,0.6927,87.6,0.0
47113,Madison,0.7124,99.5,3.0
47115,Marion,0.5061,70.5,0.0
47117,Marshall,0.6099,99.6,1.0
47119,Maury,0.3949,97.5,2.0
47121,Meigs,0.4933,35.0,0.0
47123,Monroe,0.6478,122.5,0.0
47125,Montgomery,0.5172,68.5,3.0
47127,Moore,0.0914,6.2,0.0
47129,Morgan,0.7494,59.3,0.0
47131,Obion,0.7694,94.1,1.0
47133,Overton,0.4576,90.6,0.0
47135,Perry,0.6799,85.9,0.0
47137,Pickett,0.4153,89.1,0.0
47139,Polk,0.4904,102.4,0.0
47141,Putnam,0.6182,108.6,3.0
47143,Rhea,0.8207,122.7,0.0
47145,Roane,0.3844,106.5,1.0
47147,Robertson,0.4287,103.8,0.0
47149,Rutherford,0.3268,70.8,5.0
47151,Scott,0.7637,123.8,0.0
47153,Sequatchie,0.572,125.1,0.0
47155,Sevier,0.6111,85.8,0.0
47157,Shelby,0.7847,54.7,11.0
47159,Smith,0.2608,95.4,0.0
47161,Stewart,0.4086,49.3,0.0
47163,Sullivan,0.5411,125.1,6.0
47165,Sumner,0.2057,70.2,1.0
47167,Tipton,0.45,86.7,1.0
47169,Trousdale,0.522,111.3,0.0
47171,Unicoi,0.7981,120.0,0.0
47173,Union,0.6672,61.2,0.0
47175,Van Buren,0.6025,0.1,0.0
47177,Warren,0.8322,117.9,1.0
47179,Washington,0.4589,84.1,11.0
47181,Wayne,0.7624,117.1,0.0
47183,Weakley,0.6583,105.9,0.0
47185,White,0.5984,101.4,0.0
47187,Williamson,0.021,44.4,1.0
47189,Wilson,0.1465,69.3,2.0
