,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,47001,Anderson,0.6064,109.5,1.0,TN,0.35175072277545777
1,47003,Bedford,0.7758,80.8,0.0,TN,0.2595566977192419
2,47005,Benton,0.7029,94.4,0.0,TN,0.30324445872149053
3,47007,Bledsoe,0.8159,68.4,0.0,TN,0.21972373915836815
4,47009,Blount,0.2452,69.1,4.0,TN,0.2219723739158368
5,47011,Bradley,0.6914,102.0,0.0,TN,0.32765820751686475
6,47013,Campbell,0.7338,145.7,2.0,TN,0.46803726309026655
7,47015,Cannon,0.3704,63.1,0.0,TN,0.2026983617089624
8,47017,Carroll,0.7443,102.2,0.0,TN,0.3283006745904272
9,47019,Carter,0.6153,88.7,0.0,TN,0.28493414712495985
10,47021,Cheatham,0.2369,82.9,0.0,TN,0.26630260199164796
11,47023,Chester,0.6436,81.0,0.0,TN,0.26019916479280436
12,47025,Claiborne,0.7102,148.2,1.0,TN,0.47606810150979756
13,47027,Clay,0.5939,157.6,0.0,TN,0.5062640539672342
14,47029,Cocke,0.6857,145.1,1.0,TN,0.46610986186957915
15,47031,Coffee,0.4914,138.3,3.0,TN,0.4442659813684549
16,47033,Crockett,0.7812,55.2,0.0,TN,0.17732091230324445
17,47035,Cumberland,0.5373,102.2,1.0,TN,0.3283006745904272
18,47037,Davidson,0.5363,60.6,8.0,TN,0.1946675232894314
19,47039,Decatur,0.5086,122.2,0.0,TN,0.3925473819466752
20,47041,DeKalb,0.4306,116.2,0.0,TN,0.37327336973980085
21,47043,Dickson,0.429,97.7,4.0,TN,0.31384516543527147
22,47045,Dyer,0.7596,160.0,1.0,TN,0.5139736588499839
23,47047,Fayette,0.2554,57.7,0.0,TN,0.18535175072277546
24,47049,Fentress,0.6373,123.4,0.0,TN,0.39640218438805014
25,47051,Franklin,0.3764,92.3,0.0,TN,0.29649855444908446
26,47053,Gibson,0.735,119.1,0.0,TN,0.38258914230645674
27,47055,Giles,0.6032,99.8,1.0,TN,0.3205910697076775
28,47057,Grainger,0.593,71.4,0.0,TN,0.22936074526180533
29,47059,Greene,0.5446,96.3,2.0,TN,0.30934789592033407
30,47061,Grundy,0.8685,155.4,0.0,TN,0.4991969161580469
31,47063,Hamblen,0.8146,122.9,2.0,TN,0.39479601670414394
32,47065,Hamilton,0.4137,94.5,9.0,TN,0.30356569225827174
33,47067,Hancock,0.7666,104.9,0.0,TN,0.33697398008352075
34,47069,Hardeman,0.8672,89.3,0.0,TN,0.28686154834564725
35,47071,Hardin,0.7064,130.3,2.0,TN,0.4185672984259557
36,47073,Hawkins,0.708,70.6,0.0,TN,0.2267908769675554
37,47075,Haywood,0.8717,63.0,0.0,TN,0.20237712817218118
38,47077,Henderson,0.6981,102.0,0.0,TN,0.32765820751686475
39,47079,Henry,0.6347,141.7,0.0,TN,0.455187921619017
40,47081,Hickman,0.5662,54.1,1.0,TN,0.17378734339865082
41,47083,Houston,0.5551,110.4,0.0,TN,0.3546418246064889
42,47085,Humphreys,0.3688,96.0,0.0,TN,0.30838419530999034
43,47087,Jackson,0.6,36.7,0.0,TN,0.11789270799871507
44,47089,Jefferson,0.5608,90.0,1.0,TN,0.289110183103116
45,47091,Johnson,0.5653,76.9,0.0,TN,0.24702858978477354
46,47093,Knox,0.3035,73.1,9.0,TN,0.23482171538708638
47,47095,Lake,0.9185,64.5,0.0,TN,0.20719563122389978
48,47097,Lauderdale,0.9672,98.4,0.0,TN,0.31609380019274014
