FIPS,COUNTY,RPL_THEMES,pres_r,n
48001,Anderson,0.7946,54.3,0.0
48003,Andrews,0.4736,48.7,0.0
48005,Angelina,0.9771,80.7,2.0
48007,Aransas,0.8019,74.8,0.0
48009,Archer,0.0898,47.2,0.0
48011,Armstrong,0.1599,47.2,0.0
48013,Atascosa,0.8497,76.4,0.0
48015,Austin,0.4936,45.1,0.0
48017,Bailey,0.8003,65.5,0.0
48019,Bandera,0.5076,34.7,0.0
48021,Bastrop,0.7459,63.1,0.0
48023,Baylor,0.1554,60.1,0.0
48025,Bee,0.9694,58.1,0.0
48027,Bell,0.8051,42.6,2.0
48029,Bexar,0.8258,44.1,10.0
48031,Blanco,0.2783,13.7,0.0
48033,Borden,0.0621,47.2,0.0
48035,Bosque,0.6175,34.3,0.0
48037,Bowie,0.8529,101.2,1.0
48039,Brazoria,0.5134,52.9,2.0
48041,Brazos,0.6532,42.2,1.0
48043,Brewster,0.6573,64.1,0.0
48045,Briscoe,0.4564,47.2,0.0
48047,Brooks,1.0,52.8,0.0
48049,Brown,0.6277,110.3,0.0
48051,Burleson,0.608,45.4,0.0
48053,Burnet,0.5299,71.0,0.0
48055,Caldwell,0.8732,38.2,0.0
48057,Calhoun,0.8618,88.8,0.0
48059,Callahan,0.2968,19.7,0.0
48061,Cameron,0.9758,22.6,4.0
48063,Camp,0.9019,52.9,0.0
48065,Carson,0.0338,0.1,0.0
48067,Cass,0.7841,69.4,0.0
48069,Castro,0.7774,47.2,0.0
48071,Chambers,0.4108,29.8,0.0
48073,Cherokee,0.9191,58.5,1.0
48075,Childress,0.75,129.0,0.0
48077,Clay,0.3182,47.2,0.0
48079,Cochran,0.8608,47.2,0.0
48081,Coke,0.6204,47.2,0.0
48083,Coleman,0.4185,62.7,0.0
48085,Collin,0.1506,45.4,4.0
48087,Collingsworth,0.8876,47.2,0.0
48089,Colorado,0.6847,39.5,0.0
48091,Comal,0.2379,62.0,2.0
48093,Comanche,0.7264,67.9,0.0
48095,Concho,0.4283,47.2,0.0
48097,Cooke,0.6226,76.3,0.0
48099,Coryell,0.7809,54.1,0.0
48101,Cottle,0.9363,47.2,0.0
48103,Crane,0.4739,66.9,0.0
48105,Crockett,0.6892,41.8,0.0
48107,Crosby,0.9395,0.0,0.0
48109,Culberson,0.9971,47.2,0.0
48111,Dallam,0.5503,56.4,0.0
48113,Dallas,0.7538,40.3,19.0
48115,Dawson,0.9475,53.2,0.0
48117,Deaf Smith,0.8411,31.0,0.0
48119,Delta,0.5704,47.2,0.0
48121,Denton,0.221,47.9,5.0
48123,DeWitt,0.8229,42.9,0.0
48125,Dickens,0.8796,47.2,0.0
48127,Dimmit,0.9997,74.3,1.0
48129,Donley,0.4525,0.1,0.0
48131,Duval,0.9994,4.2,0.0
48133,Eastland,0.8067,70.3,0.0
48135,Ector,0.7924,61.6,1.0
48137,Edwards,0.4385,47.2,0.0
48139,Ellis,0.3924,58.4,0.0
48141,El Paso,0.9535,30.6,5.0
48143,Erath,0.6252,62.0,0.0
48145,Falls,0.9799,50.1,0.0
48147,Fannin,0.5758,49.8,0.0
48149,Fayette,0.4363,56.0,0.0
