,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,48001,Anderson,0.7946,54.3,0.0,TX,0.1744298104722133
1,48003,Andrews,0.4736,48.7,0.0,TX,0.15644073241246387
2,48005,Angelina,0.9771,80.7,2.0,TX,0.25923546418246063
3,48007,Aransas,0.8019,74.8,0.0,TX,0.24028268551236748
4,48009,Archer,0.0898,47.2,0.0,TX,0.15162222936074526
5,48011,Armstrong,0.1599,47.2,0.0,TX,0.15162222936074526
6,48013,Atascosa,0.8497,76.4,0.0,TX,0.24542242210086734
7,48015,Austin,0.4936,45.1,0.0,TX,0.14487632508833923
8,48017,Bailey,0.8003,65.5,0.0,TX,0.21040796659171215
9,48019,Bandera,0.5076,34.7,0.0,TX,0.11146803726309028
10,48021,Bastrop,0.7459,63.1,0.0,TX,0.2026983617089624
11,48023,Baylor,0.1554,60.1,0.0,TX,0.1930613556055252
12,48025,Bee,0.9694,58.1,0.0,TX,0.18663668486990043
13,48027,Bell,0.8051,42.6,2.0,TX,0.13684548666880822
14,48029,Bexar,0.8258,44.1,10.0,TX,0.14166398972052682
15,48031,Blanco,0.2783,13.7,0.0,TX,0.04400899453902987
16,48033,Borden,0.0621,47.2,0.0,TX,0.15162222936074526
17,48035,Bosque,0.6175,34.3,0.0,TX,0.1101831031159653
18,48037,Bowie,0.8529,101.2,1.0,TX,0.3250883392226148
19,48039,Brazoria,0.5134,52.9,2.0,TX,0.16993254095727592
20,48041,Brazos,0.6532,42.2,1.0,TX,0.13556055252168328
21,48043,Brewster,0.6573,64.1,0.0,TX,0.20591069707677478
22,48045,Briscoe,0.4564,47.2,0.0,TX,0.15162222936074526
23,48047,Brooks,1.0,52.8,0.0,TX,0.16961130742049468
24,48049,Brown,0.6277,110.3,0.0,TX,0.35432059106970765
25,48051,Burleson,0.608,45.4,0.0,TX,0.14584002569868293
26,48053,Burnet,0.5299,71.0,0.0,TX,0.22807581111468037
27,48055,Caldwell,0.8732,38.2,0.0,TX,0.12271121105043367
28,48057,Calhoun,0.8618,88.8,0.0,TX,0.28525538066174105
29,48059,Callahan,0.2968,19.7,0.0,TX,0.06328300674590427
30,48061,Cameron,0.9758,22.6,4.0,TX,0.07259877931256023
31,48063,Camp,0.9019,52.9,0.0,TX,0.16993254095727592
32,48065,Carson,0.0338,0.1,0.0,TX,0.00032123353678124
33,48067,Cass,0.7841,69.4,0.0,TX,0.22293607452618056
34,48069,Castro,0.7774,47.2,0.0,TX,0.15162222936074526
35,48071,Chambers,0.4108,29.8,0.0,TX,0.0957275939608095
36,48073,Cherokee,0.9191,58.5,1.0,TX,0.18792161901702537
37,48075,Childress,0.75,129.0,0.0,TX,0.41439126244779956
38,48077,Clay,0.3182,47.2,0.0,TX,0.15162222936074526
39,48079,Cochran,0.8608,47.2,0.0,TX,0.15162222936074526
40,48081,Coke,0.6204,47.2,0.0,TX,0.15162222936074526
41,48083,Coleman,0.4185,62.7,0.0,TX,0.20141342756183747
42,48085,Collin,0.1506,45.4,4.0,TX,0.14584002569868293
43,48087,Collingsworth,0.8876,47.2,0.0,TX,0.15162222936074526
44,48089,Colorado,0.6847,39.5,0.0,TX,0.12688724702858978
45,48091,Comal,0.2379,62.0,2.0,TX,0.19916479280436877
46,48093,Comanche,0.7264,67.9,0.0,TX,0.21811757147446195
47,48095,Concho,0.4283,47.2,0.0,TX,0.15162222936074526
48,48097,Cooke,0.6226,76.3,0.0,TX,0.24510118856408608
49,48099,Coryell,0.7809,54.1,0.0,TX,0.17378734339865082
50,48101,Cottle,0.9363,47.2,0.0,TX,0.15162222936074526
51,48103,Crane,0.4739,66.9,0.0,TX,0.21490523610664955
52,48105,Crockett,0.6892,41.8,0.0,TX,0.1342756183745583
53,48107,Crosby,0.9395,0.0,0.0,TX,0.0001
54,48109,Culberson,0.9971,47.2,0.0,TX,0.15162222936074526
55,48111,Dallam,0.5503,56.4,0.0,TX,0.18117571474461933
56,48113,Dallas,0.7538,40.3,19.0,TX,0.12945711532283968
57,48115,Dawson,0.9475,53.2,0.0,TX,0.17089624156761965
58,48117,Deaf Smith,0.8411,31.0,0.0,TX,0.09958239640218439
59,48119,Delta,0.5704,47.2,0.0,TX,0.15162222936074526
60,48121,Denton,0.221,47.9,5.0,TX,0.15387086411821393
61,48123,DeWitt,0.8229,42.9,0.0,TX,0.13780918727915192
62,48125,Dickens,0.8796,47.2,0.0,TX,0.15162222936074526
63,48127,Dimmit,0.9997,74.3,1.0,TX,0.23867651782846128
64,48129,Donley,0.4525,0.1,0.0,TX,0.00032123353678124
65,48131,Duval,0.9994,4.2,0.0,TX,0.013491808544812078
66,48133,Eastland,0.8067,70.3,0.0,TX,0.22582717635721167
67,48135,Ector,0.7924,61.6,1.0,TX,0.1978798586572438
68,48137,Edwards,0.4385,47.2,0.0,TX,0.15162222936074526
69,48139,Ellis,0.3924,58.4,0.0,TX,0.18760038548024413
70,48141,El Paso,0.9535,30.6,5.0,TX,0.09829746225505943
71,48143,Erath,0.6252,62.0,0.0,TX,0.19916479280436877
72,48145,Falls,0.9799,50.1,0.0,TX,0.1609380019274012
73,48147,Fannin,0.5758,49.8,0.0,TX,0.15997430131705748
74,48149,Fayette,0.4363,56.0,0.0,TX,0.17989078059749436
75,48151,Fisher,0.4312,0.1,0.0,TX,0.00032123353678124
76,48153,Floyd,0.8299,47.2,0.0,TX,0.15162222936074526
77,48155,Foard,0.4783,30.9,0.0,TX,0.09926116286540314
78,48157,Fort Bend,0.2873,32.1,0.0,TX,0.10311596530677802
79,48159,Franklin,0.5277,59.7,0.0,TX,0.19177642145840026
80,48161,Freestone,0.843,30.9,0.0,TX,0.09926116286540314
81,48163,Frio,0.9866,35.9,2.0,TX,0.11532283970446514
82,48165,Gaines,0.6825,39.7,0.0,TX,0.12752971410215228
83,48167,Galveston,0.585,64.6,1.0,TX,0.20751686476068099
84,48169,Garza,0.7213,47.2,0.0,TX,0.15162222936074526
85,48171,Gillespie,0.3573,68.8,0.0,TX,0.22100867330549306
86,48173,Glasscock,0.1761,47.2,0.0,TX,0.15162222936074526
87,48175,Goliad,0.5815,18.1,0.0,TX,0.058143270157404434
88,48177,Gonzales,0.8959,47.8,0.0,TX,0.1535496305814327
89,48179,Gray,0.8446,87.7,0.0,TX,0.28172181175714744
90,48181,Grayson,0.6592,85.5,2.0,TX,0.27465467394796017
91,48183,Gregg,0.8825,120.6,2.0,TX,0.38740764535817535
92,48185,Grimes,0.8602,20.8,0.0,TX,0.06681657565049791
93,48187,Guadalupe,0.4344,41.9,0.0,TX,0.13459685191133952
94,48189,Hale,0.9312,56.0,0.0,TX,0.17989078059749436
95,48191,Hall,0.95,47.2,0.0,TX,0.15162222936074526
96,48193,Hamilton,0.6083,41.1,0.0,TX,0.13202698361708962
97,48195,Hansford,0.7615,47.2,0.0,TX,0.15162222936074526
98,48197,Hardeman,0.728,79.4,0.0,TX,0.25505942820430455
99,48199,Hardin,0.2532,86.3,0.0,TX,0.27722454224221005
100,48201,Harris,0.7236,37.9,19.0,TX,0.12174751044008994
101,48203,Harrison,0.7306,60.3,1.0,TX,0.19370382267908767
102,48205,Hartley,0.5344,47.2,0.0,TX,0.15162222936074526
103,48207,Haskell,0.9755,47.2,0.0,TX,0.15162222936074526
104,48209,Hays,0.4924,46.1,0.0,TX,0.14808866045615163
105,48211,Hemphill,0.7427,47.2,0.0,TX,0.15162222936074526
106,48213,Henderson,0.7201,69.2,0.0,TX,0.22229360745261806
107,48215,Hidalgo,0.978,22.7,2.0,TX,0.07292001284934146
108,48217,Hill,0.8707,54.3,0.0,TX,0.1744298104722133
109,48219,Hockley,0.9025,67.6,0.0,TX,0.2171538708641182
110,48221,Hood,0.2602,99.8,0.0,TX,0.3205910697076775
111,48223,Hopkins,0.7067,77.0,0.0,TX,0.24734982332155475
112,48225,Houston,0.9131,40.9,0.0,TX,0.13138451654352715
113,48227,Howard,0.9153,59.5,1.0,TX,0.19113395438483777
114,48229,Hudspeth,0.9825,47.2,0.0,TX,0.15162222936074526
115,48231,Hunt,0.8341,73.2,0.0,TX,0.23514294892386764
116,48233,Hutchinson,0.6631,67.4,0.0,TX,0.21651140379055575
117,48235,Irion,0.2013,47.2,0.0,TX,0.15162222936074526
118,48237,Jack,0.6538,0.0,0.0,TX,0.0001
119,48239,Jackson,0.6774,18.7,0.0,TX,0.06007067137809187
120,48241,Jasper,0.8239,49.7,0.0,TX,0.15965306778027627
121,48243,Jeff Davis,0.3611,47.2,0.0,TX,0.15162222936074526
122,48245,Jefferson,0.8567,71.0,2.0,TX,0.22807581111468037
123,48247,Jim Hogg,0.9917,19.2,0.0,TX,0.06167683906199807
124,48249,Jim Wells,0.9226,72.4,0.0,TX,0.23257308062961773
125,48251,Johnson,0.5073,76.1,0.0,TX,0.24445872149052358
126,48253,Jones,0.6328,24.8,0.0,TX,0.0796659171217475
127,48255,Karnes,0.8424,43.6,0.0,TX,0.14005782203662062
128,48257,Kaufman,0.5691,65.5,0.0,TX,0.21040796659171215
129,48259,Kendall,0.2283,53.4,0.0,TX,0.17153870864118212
130,48261,Kenedy,0.7328,47.2,0.0,TX,0.15162222936074526
131,48263,Kent,0.4427,47.2,0.0,TX,0.15162222936074526
132,48265,Kerr,0.6959,74.8,1.0,TX,0.24028268551236748
133,48267,Kimble,0.5885,50.4,0.0,TX,0.16190170253774494
134,48269,King,0.1955,47.2,0.0,TX,0.15162222936074526
135,48271,Kinney,0.8561,18.3,0.0,TX,0.05878573723096691
136,48273,Kleberg,0.9834,56.7,0.0,TX,0.18213941535496306
137,48275,Knox,0.7962,47.2,0.0,TX,0.15162222936074526
138,48277,Lamar,0.8357,129.5,0.0,TX,0.41599743013170576
139,48279,Lamb,0.8975,0.0,0.0,TX,0.0001
140,48281,Lampasas,0.5443,51.6,0.0,TX,0.1657565049791198
141,48283,La Salle,0.8191,47.2,1.0,TX,0.15162222936074526
142,48285,Lavaca,0.6879,46.4,0.0,TX,0.14905236106649533
143,48287,Lee,0.6752,39.7,0.0,TX,0.12752971410215228
