,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,49001,Beaver,0.2522,75.7,1.0,UT,0.24317378734339865
1,49003,Box Elder,0.1592,66.6,0.0,UT,0.2139415354963058
2,49005,Cache,0.3201,44.6,4.0,UT,0.14327015740443302
3,49007,Carbon,0.5615,147.2,1.0,UT,0.47285576614198516
4,49009,Daggett,0.0755,57.1,0.0,UT,0.18342434950208802
5,49011,Davis,0.0796,57.0,11.0,UT,0.18310311596530676
6,49013,Duchesne,0.4822,56.9,2.0,UT,0.18278188242852553
7,49015,Emery,0.2627,78.3,2.0,UT,0.2515258592997109
8,49017,Garfield,0.4592,70.2,0.0,UT,0.22550594282043046
9,49019,Grand,0.5213,73.3,1.0,UT,0.23546418246064887
10,49021,Iron,0.4525,81.2,1.0,UT,0.26084163186636683
11,49023,Juab,0.2331,71.3,0.0,UT,0.22903951172502407
12,49025,Kane,0.1054,93.2,0.0,UT,0.29938965628011566
13,49027,Millard,0.3554,55.6,0.0,UT,0.17860584645036942
14,49029,Morgan,0.0003,32.8,0.0,UT,0.1053646000642467
15,49031,Piute,0.2713,57.1,0.0,UT,0.18342434950208802
16,49033,Rich,0.1971,28.1,0.0,UT,0.09026662383552843
17,49035,Salt Lake,0.3229,55.6,42.0,UT,0.17860584645036942
18,49037,San Juan,0.9752,14.2,1.0,UT,0.04561516222293607
19,49039,Sanpete,0.6019,78.0,0.0,UT,0.25056215868936715
20,49041,Sevier,0.3261,99.8,0.0,UT,0.3205910697076775
21,49043,Summit,0.05,44.6,1.0,UT,0.14327015740443302
22,49045,Tooele,0.3143,52.8,2.0,UT,0.16961130742049468
23,49047,Uintah,0.4838,51.4,1.0,UT,0.16511403790555734
24,49049,Utah,0.278,47.4,12.0,UT,0.15226469643430773
25,49051,Wasatch,0.0643,51.2,2.0,UT,0.16447157083199487
26,49053,Washington,0.4143,72.8,6.0,UT,0.23385801477674267
27,49055,Wayne,0.2908,57.1,0.0,UT,0.18342434950208802
28,49057,Weber,0.4271,69.8,5.0,UT,0.22422100867330547
