FIPS,COUNTY,RPL_THEMES,pres_r,n
51001,Accomack,0.8025,33.9,2
51003,Albemarle,0.1732,40.3,2
51005,Alleghany,0.4462,66.3,0
51007,Amelia,0.3166,29.8,0
51009,Amherst,0.4682,56.8,0
51011,Appomattox,0.3637,86,0
51013,Arlington,0.1401,18.1,4
51015,Augusta,0.149,11.9,0
51017,Bath,0.2471,44.8,0
51019,Bedford,0.0984,32.8,1
51021,Bland,0.3449,42.9,0
51023,Botetourt,0.0414,31.5,0
51025,Brunswick,0.8955,12.6,0
51027,Buchanan,0.7545,113.6,1
51029,Buckingham,0.7901,0,0
51031,Campbell,0.2615,28.2,0
51033,Caroline,0.3481,28.7,0
51035,Carroll,0.3369,33,0
51036,Charles City,0.2366,44.8,0
51037,Charlotte,0.7057,26.2,0
51041,Chesterfield,0.1799,45.6,4
51043,Clarke,0.1131,24,0
51045,Craig,0.0745,0,0
51047,Culpeper,0.4882,46.5,1
51049,Cumberland,0.5831,18.2,0
51051,Dickenson,0.6806,131.5,1
51053,Dinwiddie,0.4182,0.7,0
51057,Essex,0.5634,69.2,0
51059,Fairfax,0.1876,21.8,8
51061,Fauquier,0.0287,51.1,0
51063,Floyd,0.1115,27.7,1
51065,Fluvanna,0.0631,24.4,0
51067,Franklin,0.401,59.6,1
51069,Frederick,0.1822,43.9,3
51071,Giles,0.2742,84.9,1
51073,Gloucester,0.0366,71.9,2
51075,Goochland,0.0459,1.3,1
51077,Grayson,0.6459,17.3,1
51079,Greene,0.1631,54.2,1
51081,Greensville,0.814,44.8,0
51083,Halifax,0.6723,57.5,0
51085,Hanover,0.0156,57.9,0
51087,Henrico,0.2573,46.1,5
51089,Henry,0.8857,54.2,2
51091,Highland,0.065,44.8,0
51093,Isle of Wight,0.3392,56.4,0
51095,James City,0.115,69.7,2
51097,King and Queen,0.3245,44.8,0
51099,King George,0.0159,39.8,0
51101,King William,0.0357,22.8,0
51103,Lancaster,0.1583,98.7,0
51105,Lee,0.8073,112.5,1
51107,Loudoun,0.0904,27.2,2
51109,Louisa,0.3325,35.3,1
51111,Lunenburg,0.8643,0,0
51113,Madison,0.164,44.8,0
51115,Mathews,0.0207,45.9,0
51117,Mecklenburg,0.7768,69.2,0
51119,Middlesex,0.2025,0.1,0
51121,Montgomery,0.2959,46.1,1
51125,Nelson,0.3,14.4,0
51127,New Kent,0.0061,35.7,1
51131,Northampton,0.6764,92.4,0
51133,Northumberland,0.1213,19,0
51135,Nottoway,0.9096,52.4,0
51137,Orange,0.465,61.8,0
51139,Page,0.3936,68.5,0
51141,Patrick,0.6389,48.1,1
51143,Pittsylvania,0.6427,13.7,0
51145,Powhatan,0.0057,37.9,1
51147,Prince Edward,0.7296,72.2,0
51149,Prince George,0.3175,44.8,0
51153,Prince William,0.3022,28.3,3
51155,Pulaski,0.4831,97.3,1
51157,Rappahannock,0.0213,44.8,0
51159,Richmond,0.6143,29.5,0
51161,Roanoke,0.1312,67.3,0
51163,Rockbridge,0.1433,2.8,0
51165,Rockingham,0.3197,21.2,0
51167,Russell,0.4487,90.5,1
51169,Scott,0.6758,123.2,1
51171,Shenandoah,0.3643,42.2,0
51173,Smyth,0.7548,83.9,1
51175,Southampton,0.4755,44.8,0
51177,Spotsylvania,0.2159,48,1
51179,Stafford,0.1541,36.4,0
51181,Surry,0.3659,44.8,0
51183,Sussex,0.9092,10.2,0
51185,Tazewell,0.5936,132.2,1
51187,Warren,0.2564,65,0
51191,Washington,0.3646,74.4,1
51193,Westmoreland,0.292,29.8,0
51195,Wise,0.8599,140.9,1
51197,Wythe,0.3965,78.8,0
51199,York,0.1997,35.2,1
51510,Alexandria City,0.2003,24.1,0
51520,Bristol City,0.751,148.2,0
51530,Buena Vista City,0.3242,78.8,0
51540,Charlottesville City,0.4092,35.3,0
51550,Chesapeake City,0.2592,48.1,1
51570,Colonial Heights City,0.5685,145.5,0
51580,Covington City,0.4634,177.8,1
51590,Danville City,0.9589,134.4,1
51595,Emporia City,0.9567,183.4,0
51600,Fairfax City,0.2411,62.4,0
51610,Falls Church City,0.1389,42.6,0
51620,Franklin City,0.7175,204.6,0
51630,Fredericksburg City,0.5631,106,1
51640,Galax City,0.9838,301.3,3
51650,Hampton City,0.6675,49.7,2
51660,Harrisonburg City,0.793,87.7,1
51670,Hopewell City,0.9408,136.4,0
51678,Lexington City,0.3226,191.3,1
51680,Lynchburg City,0.7369,79.1,3
51683,Manassas City,0.4446,79.1,0
51685,Manassas Park City,0.528,44.8,0
51690,Martinsville City,0.9105,293.5,0
51700,Newport News City,0.8156,40.7,3
51710,Norfolk City,0.7717,43.9,2
51720,Norton City,0.9054,311.3,0
51730,Petersburg City,0.9643,104.9,1
51735,Poquoson City,0.0127,62.6,0
51740,Portsmouth City,0.8006,69.8,1
51750,Radford City,0.4124,70.5,0
51760,Richmond City,0.7729,32.1,5
51770,Roanoke City,0.8038,70.6,4
51775,Salem City,0.3089,156.7,2
51790,Staunton City,0.4449,120.9,2
51800,Suffolk City,0.3468,64.2,2
51810,Virginia Beach City,0.1889,45.3,3
51820,Waynesboro City,0.6013,138,0
51830,Williamsburg City,0.385,44.8,0
51840,Winchester City,0.722,123.4,3
