FIPS,COUNTY,RPL_THEMES,pres_r,n
53001,Adams,0.9621,21.7,0
53003,Asotin,0.4248,122.9,1
53005,Benton,0.514,73.8,3
53007,Chelan,0.678,61.5,1
53009,Clallam,0.6146,83.4,3
53011,Clark,0.2857,46.7,8
53013,Columbia,0.3146,97.7,0
53015,Cowlitz,0.7885,65.4,5
53017,Douglas,0.7707,52.3,1
53019,Ferry,0.8223,55.9,0
53021,Franklin,0.8691,46.4,2
53023,Garfield,0.1834,100.1,0
53025,Grant,0.8452,55.6,0
53027,Grays Harbor,0.8392,79,2
53029,Island,0.1857,36.2,1
53031,Jefferson,0.2414,70,0
53033,King,0.2854,35.8,37
53035,Kitsap,0.2825,48.4,3
53037,Kittitas,0.2831,37.7,2
53039,Klickitat,0.5723,22,0
53041,Lewis,0.7889,70.1,2
53043,Lincoln,0.1984,68.1,0
53045,Mason,0.6382,66.8,2
53047,Okanogan,0.9255,52.4,0
53049,Pacific,0.736,25.5,3
53051,Pend Oreille,0.536,87.4,0
53053,Pierce,0.4873,49.8,14
53055,San Juan,0.0863,52.2,0
53057,Skagit,0.5382,66,4
53059,Skamania,0.2194,0,0
53061,Snohomish,0.2755,51.7,5
53063,Spokane,0.4825,68.5,9
53065,Stevens,0.4615,63.1,1
53067,Thurston,0.3299,47.6,5
53069,Wahkiakum,0.1809,49.3,0
53071,Walla Walla,0.6831,62.7,1
53073,Whatcom,0.4541,55.5,4
53075,Whitman,0.5108,41.2,0
53077,Yakima,0.9277,50.3,4
