,FIPS,COUNTY,RPL_THEMES,pres_r,n,State,pres_r_norm
0,53001,Adams,0.9621,21.7,0.0,WA,0.06970767748152906
1,53003,Asotin,0.4248,122.9,1.0,WA,0.39479601670414394
2,53005,Benton,0.514,73.8,3.0,WA,0.23707035014455508
3,53007,Chelan,0.678,61.5,1.0,WA,0.19755862512046257
4,53009,Clallam,0.6146,83.4,3.0,WA,0.26790876967555416
5,53011,Clark,0.2857,46.7,8.0,WA,0.15001606167683906
6,53013,Columbia,0.3146,97.7,0.0,WA,0.31384516543527147
7,53015,Cowlitz,0.7885,65.4,5.0,WA,0.21008673305493095
8,53017,Douglas,0.7707,52.3,1.0,WA,0.16800513973658848
9,53019,Ferry,0.8223,55.9,0.0,WA,0.17956954706071312
10,53021,Franklin,0.8691,46.4,2.0,WA,0.14905236106649533
11,53023,Garfield,0.1834,100.1,0.0,WA,0.32155477031802115
12,53025,Grant,0.8452,55.6,0.0,WA,0.17860584645036942
13,53027,Grays Harbor,0.8392,79.0,2.0,WA,0.25377449405717956
14,53029,Island,0.1857,36.2,1.0,WA,0.11628654031480887
15,53031,Jefferson,0.2414,70.0,0.0,WA,0.22486347574686796
16,53033,King,0.2854,35.8,37.0,WA,0.11500160616768389
17,53035,Kitsap,0.2825,48.4,3.0,WA,0.15547703180212014
18,53037,Kittitas,0.2831,37.7,2.0,WA,0.12110504336652747
19,53039,Klickitat,0.5723,22.0,0.0,WA,0.0706713780918728
20,53041,Lewis,0.7889,70.1,2.0,WA,0.2251847092836492
21,53043,Lincoln,0.1984,68.1,0.0,WA,0.2187600385480244
22,53045,Mason,0.6382,66.8,2.0,WA,0.2145840025698683
23,53047,Okanogan,0.9255,52.4,0.0,WA,0.16832637327336972
24,53049,Pacific,0.736,25.5,3.0,WA,0.08191455187921619
25,53051,Pend Oreille,0.536,87.4,0.0,WA,0.2807581111468037
26,53053,Pierce,0.4873,49.8,14.0,WA,0.15997430131705748
27,53055,San Juan,0.0863,52.2,0.0,WA,0.16768390619980728
28,53057,Skagit,0.5382,66.0,4.0,WA,0.21201413427561835
29,53059,Skamania,0.2194,0.0,0.0,WA,0.0001
30,53061,Snohomish,0.2755,51.7,5.0,WA,0.16607773851590107
31,53063,Spokane,0.4825,68.5,9.0,WA,0.22004497269514936
32,53065,Stevens,0.4615,63.1,1.0,WA,0.2026983617089624
33,53067,Thurston,0.3299,47.6,5.0,WA,0.15290716350787023
34,53069,Wahkiakum,0.1809,49.3,0.0,WA,0.15836813363315128
35,53071,Walla Walla,0.6831,62.7,1.0,WA,0.20141342756183747
36,53073,Whatcom,0.4541,55.5,4.0,WA,0.17828461291358816
37,53075,Whitman,0.5108,41.2,0.0,WA,0.13234821715387088
38,53077,Yakima,0.9277,50.3,4.0,WA,0.16158046900096368
