State,2_Yr_Award,Total_Spent,Remaining_Balance,Quarterly_Budget,Total_Budget,add
AL,15935746.00,91.90%,8.10%,3983936.5,39260000,25
AK,4000000.00,51.20%,48.80%,1000000,27180000,17
AZ,24343036.00,49.40%,50.60%,6085759,60340000,39
AR,7802590.00,39.10%,60.90%,1950647.5,19660000,12
CA,89499542.00,50.20%,49.80%,22374885.5,286650000,186
CO,15739302.00,78.30%,21.70%,3934825.5,55480000,36
CT,11000314.00,88.40%,11.60%,2750078.5,50990000,33
DE,4000000.00,36.80%,63.20%,1000000,25180000,16
FL,54300806.00,88.60%,11.40%,13575201.5,117940000,76
GA,23565420.00,72.20%,27.80%,5891355,73050000,47
HI,4000000.00,59.60%,40.40%,1000000,9300000,6
ID,4000000.00,94.20%,5.80%,1000000,13840000,8
IL,32657166.00,71.60%,28.40%,8164291.5,101490000,65
IN,21851984.00,46.90%,53.10%,5462996,60470000,39
IA,5456154.00,75.40%,24.60%,1364038.5,24820000,16
KS,6228804.00,93.30%,6.70%,1557201,29370000,19
KY,21056186.00,62.90%,37.10%,5264046.5,71100000,46
LA,16335942.00,45.80%,54.20%,4083985.5,41490000,26
ME,4078058.00,71.50%,28.50%,1019514.5,23690000,15
MD,20073627.00,58.90%,41.10%,5018406.75,99630000,64
MA,23818848.00,80.90%,19.10%,5954712,158200000,102
MI,32745360.00,56.00%,44.00%,8186340,92810000,60
MN,10758698.00,73.30%,26.70%,2689674.5,44360000,28
MS,7169354.00,71.60%,28.40%,1792338.5,22010000,14
MO,20031796.00,97.30%,2.70%,5007949,64930000,42
MT,4000000.00,45.20%,54.80%,1000000,21780000,14
NE,4000000.00,43.60%,56.40%,1000000,17250000,11
NV,11326656.00,67.10%,32.90%,2831664,22610000,14
NH,6589732.00,55.30%,44.70%,1647433,40110000,26
NJ,25991241.00,55.50%,44.50%,6497810.25,57890000,37
NM,9585102.00,87.30%,12.70%,2396275.5,27880000,18
NY,50521352.00,74.40%,25.60%,12630338,180770000,117
NC,31173448.00,90.90%,9.10%,7793362,98090000,63
ND,4000000.00,89.60%,10.40%,1000000,10680000,6
OH,52121004.00,77.00%,23.00%,13030251,144800000,94
OK,14566458.00,84.70%,15.30%,3641614.5,42760000,27
OR,13128850.00,55.20%,44.80%,3282212.5,42400000,27
PA,53015118.00,73.40%,26.60%,13253779.5,163260000,106
RI,4334014.00,71.40%,28.60%,1083503.5,65160000,42
SC,13151246.00,94.60%,5.40%,3287811.5,39320000,25
SD,3999994.00,53.60%,46.40%,999998.5,12320000,8
TN,27630264.00,90.20%,9.80%,6907566,65340000,42
TX,54724714.00,52.10%,47.90%,13681178.5,123230000,80
UT,11074916.00,85.50%,14.50%,2768729,34350000,22
VT,4000000.00,36.40%,63.60%,1000000,18090000,11
VA,19524664.00,95.40%,4.60%,4881166,55800000,36
WA,23580512.00,70.00%,30.00%,5895128,72980000,47
WV,12096966.00,34.10%,65.90%,3024241.5,53400000,34
WI,15273876.00,60.00%,40.00%,3818469,46570000,30
WY,4000000.00,82.30%,17.70%,1000000,9690000,6
